generated_qwen3_4b_pdapt_slerp
"{""question1"": ""Quelle est la principale différence entre la sanction et l'indemnisation dans le cadre de la responsabilité des professionnels de santé?"", ""option_a1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation peut être obtenue par les établissements de santé."", ""option_b1"": ""La sanction est une mesure pénale, tandis que l'indemnisation est une mesure civile."", ""option_c1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation est réservée aux établissements de santé."", ""option_d1"": ""La sanction est une mesure disciplinaire, tandis que l'indemnisation est une mesure pénale."", ""correct_option1"": ""b"", ""question2"": ""Quel type de dommage peut être indemnisé en cas de défaut d'information?"", ""option_a2"": ""Une atteinte à l'intégrité physique uniquement."", ""option_b2"": ""Une perte de chance de survie ou de guérison."", ""option_c2"": ""Une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""option_d2"": ""Une perte de chance de survie ou de guérison et une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""correct_option2"": ""d""}"
"{""question1"": ""Quel type de responsabilité civile engagent les professionnels exerçant à titre libéral et les établissements de santé privés?"", ""option_a1"": ""Responsabilité civile devant les juridictions de l’ordre judiciaire"", ""option_b1"": ""Responsabilité civile devant les juridictions de l’ordre administratif"", ""option_c1"": ""Responsabilité civile devant les juridictions de l’ordre disciplinaire"", ""option_d1"": ""Responsabilité civile devant les juridictions de l’ordre pénal"", ""correct_option1"": ""a"", ""question2"": ""Quel est le régime de responsabilité des médecins salariés d’établissements, services ou organismes privés?"", ""option_a2"": ""Responsabilité civile personnelle"", ""option_b2"": ""Responsabilité civile collective"", ""option_c2"": ""Responsabilité civile du commettant"", ""option_d2"": ""Responsabilité civile du salarié"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la responsabilité engagée par un médecin hospitalier pour les actes qu'il réalise?"", ""option_a1"": ""La responsabilité civile personnelle du médecin"", ""option_b1"": ""La responsabilité pénale du médecin"", ""option_c1"": ""La responsabilité administrative de l'établissement public de santé"", ""option_d1"": ""La responsabilité disciplinaire du médecin"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la typologie des fautes susceptibles d'engager la responsabilité du service public selon la jurisprudence administrative?"", ""option_a2"": ""La faute de service et la faute personnelle"", ""option_b2"": ""La faute de service et la faute dans l'organisation du service"", ""option_c2"": ""La faute dans l'organisation du service et la faute personnelle"", ""option_d2"": ""La faute de service et la faute dans le fonctionnement du service"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les effets à faible dose de l'alcool?"", ""option_a1"": ""Hypertension artérielle"", ""option_b1"": ""Haleine caractéristique (œnolique)"", ""option_c1"": ""Hypertension artérielle"", ""option_d1"": ""Hypotension artérielle"", ""correct_option1"": ""b"", ""question2"": ""Quel est le diagnostic du coma éthylique?"", ""option_a2"": ""Diagnostic sur anamnèse et odeur caractéristique de l’haleine"", ""option_b2"": ""Diagnostic sur anamnèse et absence d'odeur caractéristique de l’haleine"", ""option_c2"": ""Diagnostic sur anamnèse et présence d'odeur caractéristique de l’haleine"", ""option_d2"": ""Diagnostic sur anamnèse et absence d'odeur caractéristique de l’haleine"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelles sont les comorbidités psychiatriques les plus fréquentes associées au mésusage d'alcool?"", ""option_a1"": ""Troubles du sommeil et troubles de la mémoire"", ""option_b1"": ""Troubles anxieux et troubles dépressifs"", ""option_c1"": ""Troubles de l'attention et troubles de l'hyperactivité"", ""option_d1"": ""Troubles de la personnalité et troubles de l'identité"", ""correct_option1"": ""b"", ""question2"": ""Quelle est l'association fréquente entre le mésusage d'alcool et d'autres addictions?"", ""option_a2"": ""Addiction à la drogue et addiction au jeu"", ""option_b2"": ""Addiction au tabac et addiction au jeu"", ""option_c2"": ""Addiction à la drogue et addiction au cannabis"", ""option_d2"": ""Addiction au tabac et addiction à la drogue"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelles sont les principales complications sociales liées au mésusage d’alcool?"", ""option_a1"": ""Complications uniquement professionnelles"", ""option_b1"": ""Complications uniquement familiales"", ""option_c1"": ""Complications familiales, professionnelles et financières"", ""option_d1"": ""Complications uniquement judiciaires"", ""correct_option1"": ""c"", ""question2"": ""Comment la précarité peut-elle influencer le mésusage d’alcool?"", ""option_a2"": ""La précarité ne favorise pas la rechute"", ""option_b2"": ""La précarité est indépendante du mésusage d’alcool"", ""option_c2"": ""La précarité peut favoriser la rechute"", ""option_d2"": ""La précarité est uniquement liée à la consommation excessive d’alcool"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels sont les marqueurs biologiques usuels de consommation d’alcool?"", ""option_a1"": ""Alcoolémie, GGT, VGM, transferrine désialylée"", ""option_b1"": ""Alcoolémie, GGT, créatinine, transferrine désialylée"", ""option_c1"": ""Alcoolémie, GGT, VGM, protéine C réactive"", ""option_d1"": ""Alcoolémie, GGT, VGM, bilirubine"", ""correct_option1"": ""a"", ""question2"": ""Quel est le marqueur biologique de consommation d’alcool qui se normalise en quelques semaines après l’arrêt de la consommation?"", ""option_a2"": ""Alcoolémie"", ""option_b2"": ""GGT"", ""option_c2"": ""VGM"", ""option_d2"": ""Transferrine désialylée"", ""correct_option2"": ""d""}"
"{""question1"": ""Quelles sont les complications médicales générales principales de la consommation d’alcool?"", ""option_a1"": ""Cancers des voies aérodigestives supérieures et épidermoïde de l’œsophage"", ""option_b1"": ""Pancréatite aiguë et chronique calcifiante"", ""option_c1"": ""Troubles cognitifs liés à l’alcool, dont syndrome de Korsakoff"", ""option_d1"": ""Hypertension artérielle"", ""correct_option1"": ""c"", ""question2"": ""Quelles sont les complications cardiovasculaires de la consommation d’alcool?"", ""option_a2"": ""Troubles du rythme"", ""option_b2"": ""Cardiomyopathies, insuffisance cardiaque gauche"", ""option_c2"": ""Hypertension artérielle"", ""option_d2"": ""Troubles ioniques"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le principal objectif de la prévention primaire du mésusage d’alcool?"", ""option_a1"": ""Éviter la première consommation de substances psychoactives ou la retarder"", ""option_b1"": ""S’affranchir de toute attitude de jugement ou de stigmatisation"", ""option_c1"": ""Prendre en compte la substance plutôt que la personne"", ""option_d1"": ""Promouvoir les comportements de santé uniquement chez les adultes"", ""correct_option1"": ""a"", ""question2"": ""Quel est un des principaux outils de la prévention primaire du mésusage d’alcool?"", ""option_a2"": ""Information et éducation des futurs usagers"", ""option_b2"": ""S’affranchir de toute attitude de jugement ou de stigmatisation"", ""option_c2"": ""Prendre en compte la substance plutôt que la personne"", ""option_d2"": ""Promouvoir les comportements de santé uniquement chez les adultes"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est l'objectif principal du repérage précoce et intervention brève (RPIB) dans le contexte de l'addiction à l'alcool?"", ""option_a1"": ""Évaluer la dépendance à l'alcool"", ""option_b1"": ""Dépister systématiquement un mésusage d'alcool et proposer une intervention brève en cas de mésusage sans dépendance"", ""option_c1"": ""Proposer un traitement médicamenteux"", ""option_d1"": ""Encourager la consommation d'alcool modérée"", ""correct_option1"": ""b"", ""question2"": ""Quelles sont les caractéristiques de l'intervention brève dans le cadre du RPIB?"", ""option_a2"": ""Elle est dispensée en groupe et dure plus de 20 minutes"", ""option_b2"": ""Elle est dispensée individuellement, en un temps court (5 à 20 minutes) et peut être répétée"", ""option_c2"": ""Elle est dispensée uniquement par des professionnels de santé spécialisés"", ""option_d2"": ""Elle ne comprend pas d'échange avec le patient sur les avantages à diminuer la consommation"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les principes de la prise en charge de l'addiction à l'alcool?"", ""option_a1"": ""Prise en charge uniquement médicale"", ""option_b1"": ""Prise en charge globale, médico-psycho-sociale et pluridisciplinaire"", ""option_c1"": ""Prise en charge uniquement psychologique"", ""option_d1"": ""Prise en charge uniquement sociale"", ""correct_option1"": ""b"", ""question2"": ""Quels sont les objectifs généraux de la prise en charge de l'addiction à l'alcool?"", ""option_a2"": ""Arrêt complet des consommations (abstinence)"", ""option_b2"": ""Retour à un usage à faible risque"", ""option_c2"": ""Réduction des consommations dans un objectif de réduction des risques"", ""option_d2"": ""Aucun des objectifs ci-dessus"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le principal objectif de l'entretien motivationnel en addictologie?"", ""option_a1"": ""Établir un diagnostic précis de l'addiction"", ""option_b1"": ""Augmenter la motivation du patient à changer"", ""option_c1"": ""Prescrire des médicaments pour traiter l'addiction"", ""option_d1"": ""Évaluer les risques liés à l'addiction"", ""correct_option1"": ""b"", ""question2"": ""Quel principe est fondamental dans l'entretien motivationnel selon les recommandations actuelles?"", ""option_a2"": ""La confrontation directe avec la réalité de l'addiction"", ""option_b2"": ""L'approche directive et directive"", ""option_c2"": ""L'approche empathique et non-jugementale"", ""option_d2"": ""La prescription de thérapies comportementales"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le type de sevrage recommandé pour les patients dépendants souhaitant arrêter leur consommation d’alcool?"", ""option_a1"": ""Sevrage hospitalier uniquement"", ""option_b1"": ""Sevrage ambulatoire uniquement"", ""option_c1"": ""Sevrage ambulatoire ou hospitalier selon les circonstances"", ""option_d1"": ""Sevrage ambulatoire ou hospitalier sans surveillance médicale"", ""correct_option1"": ""c"", ""question2"": ""Quelles sont les indications pour un sevrage hospitalier d’alcool?"", ""option_a2"": ""Antécédents d’accident de sevrage"", ""option_b2"": ""Dépendance sévère"", ""option_c2"": ""Dépendance aux benzodiazépines ou autre comorbidité addictive sévère non stabilisée"", ""option_d2"": ""Toutes les réponses ci-dessus"", ""correct_option2"": ""d""}"
"{""question1"": ""Quel est le traitement initial recommandé pour un patient présentant un trouble de conscience ou des symptômes évocateurs d'encéphalopathie de Gayet Wernicke en lien avec une consommation à risque d'alcool?"", ""option_a1"": ""Hydratation orale seule"", ""option_b1"": ""Supplémentation en vitamine B1 intraveineuse avant toute perfusion de sérum glucosé"", ""option_c1"": ""Traitement par benzodiazépines à forte dose"", ""option_d1"": ""Hydratation par voie orale et supplémentation en vitamine B1"", ""correct_option1"": ""b"", ""question2"": ""Quel est le traitement recommandé pour un patient présentant un delirium tremens?"", ""option_a2"": ""Hospitalisation en soins intensifs uniquement"", ""option_b2"": ""Traitement par vitamine B1 parentérale à forte dose avant toute perfusion de sérum glucosé et polyvitamines"", ""option_c2"": ""Hydratation orale seule"", ""option_d2"": ""Traitement par benzodiazépines à forte dose par voie intraveineuse jusqu’à sédation"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le principal objectif des groupes d'entraide en addictologie?"", ""option_a1"": ""Réduire les coûts de la prise en charge"", ""option_b1"": ""Lutte contre l'isolement"", ""option_c1"": ""Améliorer les performances académiques"", ""option_d1"": ""Augmenter la consommation d'alcool"", ""correct_option1"": ""b"", ""question2"": ""Quel type de structure de prise en charge en addictologie s'adresse aux personnes mineures ou jeunes majeures présentant des difficultés en lien avec un comportement avec ou sans substance?"", ""option_a2"": ""CSAPA"", ""option_b2"": ""CAARUD"", ""option_c2"": ""CJC"", ""option_d2"": ""ELSA"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels médicaments sont utilisés pour aider à la diminution de la consommation d'alcool?"", ""option_a1"": ""Nalmefène et baclofène"", ""option_b1"": ""Acamprosate et naltrexone"", ""option_c1"": ""Disulfirame et baclofène"", ""option_d1"": ""Nalmefène et disulfirame"", ""correct_option1"": ""a"", ""question2"": ""Quels médicaments sont utilisés pour prévenir les rechutes après un sevrage d'alcool?"", ""option_a2"": ""Acamprosate et naltrexone"", ""option_b2"": ""Nalmefène et baclofène"", ""option_c2"": ""Disulfirame et baclofène"", ""option_d2"": ""Nalmefène et disulfirame"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le premier pas à effectuer lors de l'évaluation d'un trouble visuel pour déterminer s'il est mono- ou binoculaire?"", ""option_a1"": ""Évaluer l'acuité visuelle sans correction optique"", ""option_b1"": ""Évaluer l'acuité visuelle avec correction optique"", ""option_c1"": ""Occulter un œil puis l'autre"", ""option_d1"": ""Demander au patient de fermer les yeux"", ""correct_option1"": ""c"", ""question2"": ""Quel est le résultat d'un trouble visuel binoculaire lors de l'occlusion d'un œil?"", ""option_a2"": ""Le trouble persiste"", ""option_b2"": ""Le trouble disparaît"", ""option_c2"": ""Le trouble devient monoculaire"", ""option_d2"": ""Le trouble devient binoculaire"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la définition de l'amaurose fugace?"", ""option_a1"": ""Une perte de vision permanente"", ""option_b1"": ""Une perte de vision d'apparition aiguë, d'une durée de quelques minutes, spontanément résolutive"", ""option_c1"": ""Une perte de vision due à une lésion oculaire"", ""option_d1"": ""Une perte de vision due à une maladie de Horton"", ""correct_option1"": ""b"", ""question2"": ""Quel est le risque associé à l'amaurose fugace?"", ""option_a2"": ""Une maladie de Horton"", ""option_b2"": ""Un athérome carotidien"", ""option_c2"": ""Une cardiopathie emboligène"", ""option_d2"": ""Une occlusion artérielle rétinienne constituée ou un AVC ischémique"", ""correct_option2"": ""d""}"
"{""question1"": ""Quel est le résultat du réflexe photomoteur direct et consensuel chez un sujet normal lorsqu'un œil est éclairé?"", ""option_a1"": ""Myosis du même œil et myosis de l'œil opposé"", ""option_b1"": ""Myosis du même œil et mydriase de l'œil opposé"", ""option_c1"": ""Mydriase du même œil et myosis de l'œil opposé"", ""option_d1"": ""Mydriase du même œil et mydriase de l'œil opposé"", ""correct_option1"": ""a"", ""question2"": ""Dans le cas d'une mydriase d'origine sensorielle, quel est le résultat du réflexe photomoteur direct et consensuel à l'éclairement de l'œil atteint?"", ""option_a2"": ""Abolition du RPM direct et consensuel"", ""option_b2"": ""Abolition du RPM direct et conservation du RPM consensuel"", ""option_c2"": ""Conservation du RPM direct et abolition du RPM consensuel"", ""option_d2"": ""Conservation du RPM direct et consensuel"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le réflexe photomoteur direct et consensuel normal?"", ""option_a1"": ""L'oeil éclairé se ferme et l'oeil opposé se ferme également."", ""option_b1"": ""L'oeil éclairé se ferme et l'oeil opposé se ferme également, mais avec une latence plus longue."", ""option_c1"": ""L'oeil éclairé se ferme et l'oeil opposé reste ouvert."", ""option_d1"": ""L'oeil éclairé reste ouvert et l'oeil opposé se ferme."", ""correct_option1"": ""c"", ""question2"": ""Quel est le réflexe photomoteur direct et consensuel pathologique?"", ""option_a2"": ""L'oeil éclairé se ferme et l'oeil opposé se ferme également."", ""option_b2"": ""L'oeil éclairé se ferme et l'oeil opposé se ferme également, mais avec une latence plus longue."", ""option_c2"": ""L'oeil éclairé reste ouvert et l'oeil opposé se ferme."", ""option_d2"": ""L'oeil éclairé se ferme et l'oeil opposé reste ouvert."", ""correct_option2"": ""d""}"
"{""question1"": ""Quel examen permet d'apprécier les différents éléments de l'angle iridocornéen?"", ""option_a1"": ""Biomicroscopie"", ""option_b1"": ""Gonioscopie"", ""option_c1"": ""Tonomètre à aplanation"", ""option_d1"": ""OCT maculaire"", ""correct_option1"": ""b"", ""question2"": ""Quel examen est utilisé pour mesurer la longueur du globe oculaire?"", ""option_a2"": ""Biomicroscopie"", ""option_b2"": ""Gonioscopie"", ""option_c2"": ""Échographie"", ""option_d2"": ""OCT maculaire"", ""correct_option2"": ""c""}"
"{""question1"": ""..."", ""option_a1"": ""..."", ""option_b1"": ""..."", ""option_c1"": ""..."", ""option_d1"": ""..."", ""correct_option1"": ""a"", ""question2"": ""..."", ""option_a2"": ""..."", ""option_b2"": ""..."", ""option_c2"": ""..."", ""option_d2"": ""..."", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la première étape à effectuer devant une baisse d'acuité visuelle avec œil blanc et indolore?"", ""option_a1"": ""Examen du fond d'œil"", ""option_b1"": ""Echographie B"", ""option_c1"": ""Hospitalisation en urgence"", ""option_d1"": ""Traitement par injections intra-vitréennes d'anti-VEGF"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la cause la plus fréquente d'une hémorragie intravitréenne?"", ""option_a2"": ""Rétinopathie diabétique proliférante"", ""option_b2"": ""Occlusion de la veine centrale de la rétine"", ""option_c2"": ""Déchirure rétinienne"", ""option_d2"": ""Syndrome de Terson"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel examen est indiqué en cas de glaucome ou de pathologie neuro-ophtalmologique?"", ""option_a1"": ""Périmétrie cinétique"", ""option_b1"": ""Tomographie en cohérence optique"", ""option_c1"": ""Angiographie à la fluorescéine"", ""option_d1"": ""Électrophysiologie visuelle"", ""correct_option1"": ""b"", ""question2"": ""Quel examen est utile pour apprécier la longueur du globe oculaire?"", ""option_a2"": ""Périmétrie cinétique"", ""option_b2"": ""Tomographie en cohérence optique"", ""option_c2"": ""Échographie oculaire en mode A"", ""option_d2"": ""Angiographie à la fluorescéine"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la principale caractéristique d'un chalazion?"", ""option_a1"": ""Il est douloureux et infectieux"", ""option_b1"": ""Il est douloureux mais non infectieux"", ""option_c1"": ""Il est non douloureux et non infectieux"", ""option_d1"": ""Il est non douloureux mais infectieux"", ""correct_option1"": ""c"", ""question2"": ""Où se développe généralement un chalazion?"", ""option_a2"": ""Sur le bord libre de la paupière"", ""option_b2"": ""Sur la conjonctive"", ""option_c2"": ""Sur le tarse"", ""option_d2"": ""Sur la cornée"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la principale cause de neuropathie optique ischémique antérieure (NOIA)?"", ""option_a1"": ""Artériosclérose"", ""option_b1"": ""Maladie de Horton"", ""option_c1"": ""Diabète"", ""option_d1"": ""Tabagisme"", ""correct_option1"": ""a"", ""question2"": ""Quel est le principal facteur de risque de développer une sclérose en plaques après un épisode isolé de neuropathie optique rétrobulbaire (NORB)?"", ""option_a2"": ""Présence de lésions à l'IRM lors du premier examen"", ""option_b2"": ""Synthèse intrathécale d'immunoglobulines"", ""option_c2"": ""Douleurs oculaires"", ""option_d2"": ""Déficit fasciculaire à l'examen du champ visuel"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la caractéristique principale des stimuli visuels dans une migraine ophtalmique ou aura migraineuse visuelle?"", ""option_a1"": ""Stimuli visuels permanents et constants"", ""option_b1"": ""Stimuli visuels qui régressent en 15 à 20 minutes environ"", ""option_c1"": ""Stimuli visuels qui persistent indéfiniment"", ""option_d1"": ""Stimuli visuels qui apparaissent et disparaissent de manière aléatoire"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la description typique des stimuli visuels dans une migraine ophtalmique ou aura migraineuse visuelle?"", ""option_a2"": ""Un scotome scintillant bilatéral, accompagné de flashs colorés, s'étendant progressivement à un hémichamp visuel"", ""option_b2"": ""Des stimuli visuels permanents et constants"", ""option_c2"": ""Des stimuli visuels qui persistent indéfiniment"", ""option_d2"": ""Des stimuli visuels qui apparaissent et disparaissent de manière aléatoire"", ""correct_option2"": ""a""}"
"{""question1"": ""Quels sont les diagnostics différentiels neurologiques de l'aura migraineuse?"", ""option_a1"": ""Accidents ischémiques transitoires"", ""option_b1"": ""Épilepsie occipitale partielle"", ""option_c1"": ""Migraines symptomatiques"", ""option_d1"": ""Déchirure rétinienne"", ""correct_option1"": ""a"", ""question2"": ""Quels sont les diagnostics différentiels oculaires de l'aura migraineuse?"", ""option_a2"": ""Accidents ischémiques transitoires"", ""option_b2"": ""Épilepsie occipitale partielle"", ""option_c2"": ""Déchirure rétinienne"", ""option_d2"": ""Hémorragie du vitré"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la caractéristique principale de l'œdème papillaire sur cette photographie?"", ""option_a1"": ""La papille est claire et bien définie."", ""option_b1"": ""La papille est floue et en relief."", ""option_c1"": ""La papille est décolorée et pâle."", ""option_d1"": ""La papille est dilatée et rouge."", ""correct_option1"": ""b"", ""question2"": ""Quel est le terme utilisé pour décrire une papille à bords nets?"", ""option_a2"": ""Œdème papillaire"", ""option_b2"": ""Papille claire"", ""option_c2"": ""Papille normale"", ""option_d2"": ""Papille dilatée"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la caractéristique principale de l'hémianopsie latérale homonyme (ou bitemporale)?"", ""option_a1"": ""Perte de la vision centrale dans les deux yeux"", ""option_b1"": ""Perte de la vision périphérique dans les deux yeux"", ""option_c1"": ""Perte de la vision dans un quadrant de chaque œil"", ""option_d1"": ""Perte de la vision dans la moitié droite de chaque œil"", ""correct_option1"": ""c"", ""question2"": ""Quel est le champ visuel représenté dans la photographie?"", ""option_a2"": ""Hémianopsie latérale homonyme droite"", ""option_b2"": ""Hémianopsie latérale homonyme gauche"", ""option_c2"": ""Hémianopsie latérale homonyme bitemporale"", ""option_d2"": ""Hémianopsie latérale non homonyme"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels sont les signes cliniques évocateurs d'un décollement de rétine (DR) rhegmatogène?"", ""option_a1"": ""Les myodésopsies suivis de phosphènes correspondant à la survenue de la déchirure rétinienne"", ""option_b1"": ""L'amputation du champ visuel périphérique, correspondant à la constitution du DR"", ""option_c1"": ""Une baisse d'acuité visuelle (oeil blanc et non douloureux) lorsque le DR soulève la macula"", ""option_d1"": ""Une douleur oculaire intense"", ""correct_option1"": ""a"", ""question2"": ""Quel est l'examen du fond d'œil qui permet de faire le diagnostic d'un décollement de rétine (DR) rhegmatogène?"", ""option_a2"": ""La rétine apparaît en relief, mobile, formant de volumineux plis"", ""option_b2"": ""La recherche de la déchirure causale"", ""option_c2"": ""La mesure de l'acuité visuelle"", ""option_d2"": ""La mesure de la pression intraoculaire"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le principal facteur de risque de décollement de rétine rhegmatogène chez les sujets âgés?"", ""option_a1"": ""Myopie forte"", ""option_b1"": ""Chirurgie de la cataracte"", ""option_c1"": ""Décollement postérieur du vitré physiologique"", ""option_d1"": ""Uvéite"", ""correct_option1"": ""c"", ""question2"": ""Quel est le signe clinique évocateur d'un décollement rhégmatogène de rétine?"", ""option_a2"": ""Amputation du champ visuel central"", ""option_b2"": ""Baisse d'acuité visuelle sans douleur"", ""option_c2"": ""Myodésopsies suivis de phosphènes"", ""option_d2"": ""Douleur oculaire intense"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels sont les signes cliniques d'une hémorragie du vitré?"", ""option_a1"": ""Acuité visuelle normale"", ""option_b1"": ""Baisse d'acuité visuelle variable"", ""option_c1"": ""Champ visuel normal"", ""option_d1"": ""PEV normal"", ""correct_option1"": ""b"", ""question2"": ""Quelles sont les principales causes d'une hémorragie intravitréenne?"", ""option_a2"": ""Rétinopathie diabétique non proliférante"", ""option_b2"": ""Occlusions de forme ischémique de la veine centrale de la rétine"", ""option_c2"": ""Déchirure rétinienne"", ""option_d2"": ""Syndrome de Terson"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la principale complication d'un ectropion?"", ""option_a1"": ""Infection oculaire"", ""option_b1"": ""Exposition cornéenne"", ""option_c1"": ""Cécité permanente"", ""option_d1"": ""Accident vasculaire cérébral"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la cause principale d'un ectropion?"", ""option_a2"": ""Relâchement des tissus cutanés"", ""option_b2"": ""Inflammation oculaire"", ""option_c2"": ""Accident vasculaire cérébral"", ""option_d2"": ""Cécité permanente"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la cause principale de l'entropion sénile?"", ""option_a1"": ""Relâchement des tissus conjonctivaux"", ""option_b1"": ""Rétraction des tissus cutanés"", ""option_c1"": ""Inflammation de la conjonctive"", ""option_d1"": ""Infection bactérienne"", ""correct_option1"": ""b"", ""question2"": ""Quelle complication est associée à l'entropion cicatriciel?"", ""option_a2"": ""Trichiasis"", ""option_b2"": ""Cataracte"", ""option_c2"": ""Glaucome"", ""option_d2"": ""Diplopie"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la définition d'un ptosis?"", ""option_a1"": ""Excès de peau de la paupière supérieure"", ""option_b1"": ""Position trop basse du bord libre de la paupière supérieure"", ""option_c1"": ""Rétraction du muscle orbiculaire"", ""option_d1"": ""Inflammation de la conjonctive"", ""correct_option1"": ""b"", ""question2"": ""Comment un ptosis est-il à différencier du dermachalasis?"", ""option_a2"": ""Le ptosis est caractérisé par un repli cutané qui recouvre l'axe visuel"", ""option_b2"": ""Le dermachalasis est caractérisé par une position trop basse du bord libre de la paupière supérieure"", ""option_c2"": ""Le ptosis est caractérisé par une position trop basse du bord libre de la paupière supérieure"", ""option_d2"": ""Le dermachalasis est caractérisé par une rétraction du muscle orbiculaire"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la cause principale d'un ptosis neurogène?"", ""option_a1"": ""Paralysie du III"", ""option_b1"": ""Paralysie du sympathique cervical"", ""option_c1"": ""Relâchement de l’aponévrose du releveur"", ""option_d1"": ""Rupture de l’aponévrose du releveur"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la cause principale d'un ptosis myogène?"", ""option_a2"": ""Paralysie du III"", ""option_b2"": ""Paralysie du sympathique cervical"", ""option_c2"": ""Atteinte du muscle releveur de la paupière supérieure"", ""option_d2"": ""Relâchement de l’aponévrose du releveur"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la principale caractéristique d'un chalazion?"", ""option_a1"": ""Il est douloureux et infectieux"", ""option_b1"": ""Il est douloureux mais non infectieux"", ""option_c1"": ""Il est non douloureux et non infectieux"", ""option_d1"": ""Il est non douloureux mais infectieux"", ""correct_option1"": ""c"", ""question2"": ""Où se développe généralement un chalazion?"", ""option_a2"": ""Sur le bord libre de la paupière"", ""option_b2"": ""Sur la conjonctive"", ""option_c2"": ""Sur le tarse"", ""option_d2"": ""Sur la cornée"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la cause principale d'un orgelet?"", ""option_a1"": ""Infection virale"", ""option_b1"": ""Infection bactérienne (Staphylococcus aureus)"", ""option_c1"": ""Infection fongique"", ""option_d1"": ""Infection parasitaire"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la manifestation clinique d'un orgelet?"", ""option_a2"": ""Tuméfaction bleue"", ""option_b2"": ""Tuméfaction rouge centrée par un point blanc"", ""option_c2"": ""Tuméfaction verte"", ""option_d2"": ""Tuméfaction jaune"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la principale caractéristique d'un chalazion avec extension interne à la paupière (face tarsale)?"", ""option_a1"": ""Il est localisé sur la face externe de la paupière."", ""option_b1"": ""Il provoque une inflammation de la conjonctive."", ""option_c1"": ""Il se forme à l'intérieur de la paupière, proche du bord libre."", ""option_d1"": ""Il est associé à une infection bactérienne."", ""correct_option1"": ""c"", ""question2"": ""Quelle est la principale caractéristique d'un chalazion avec extension à la face externe de la paupière (face cutanée)?"", ""option_a2"": ""Il est localisé à l'intérieur de la paupière, proche du bord libre."", ""option_b2"": ""Il provoque une inflammation de la conjonctive."", ""option_c2"": ""Il se forme sur la face externe de la paupière, proche du bord libre."", ""option_d2"": ""Il est associé à une infection bactérienne."", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la cause principale d'un orgelet?"", ""option_a1"": ""Infection bactérienne"", ""option_b1"": ""Accumulation de sébum"", ""option_c1"": ""Inflammation de la paupière"", ""option_d1"": ""Accident vasculaire cérébral"", ""correct_option1"": ""b"", ""question2"": ""Quel est le traitement le plus courant pour un orgelet?"", ""option_a2"": ""Chirurgie immédiate"", ""option_b2"": ""Application de chaleur"", ""option_c2"": ""Antibiotiques systémiques"", ""option_d2"": ""Corticoïdes locaux"", ""correct_option2"": ""b""}"
