,id,question,option_a,option_b,option_c,option_d,correct_option
1206,OIC-162-12-A,Quelle est la caractéristique clinique principale de la trichomonose?,"Leucorrhées blanches, caséeuses","Leucorrhées verdâtres, spumeuses et malodorantes","Leucorrhées blanches, caillebottées, grumeleuses",Leucorrhées purulentes,b
1207,OIC-162-12-A-,Quelle est la caractéristique de l'examen gynécologique dans la chlamydiose?,Col non ou peu inflammatoire et écoulement purulent à l'orifice cervical,Fragilité du col utérin et/ou sécrétions mucopurulentes,Colpite punctiforme (« léopard »),"Leucorrhées blanches, caillebottées, grumeleuses",b
1208,OIC-162-13-B,Quelle est la cause principale des infections génitales hautes chez la femme?,Gonocoque,Chlamydiose,Trichomonose,Mycoplasma genitalium,b
1209,OIC-162-13-B-,"Quelle bactérie est considérée comme une cause d'infection génitale haute chez la femme, mais non vénérienne?",Gonocoque,Chlamydiose,Streptocoque,Trichomonose,c
1210,OIC-162-15-A-,"En cas d'infection haute de la femme, quel examen est essentiel pour évaluer l'inflammation?",PCR Chlamydia,CRP,NFS,Test tréponémique,b
1211,OIC-162-17-B-,Quels micro-organismes sont recherchés dans le prélèvement pour le diagnostic d'une infection génitale haute chez la femme?,Neisseria gonorrhoeae et Chlamydia trachomatis,Mycoplasmes et Trichomonas vaginalis,Staphylococcus aureus et Escherichia coli,Candida albicans et Herpes simplex virus,a
1212,OIC-162-18-A,Quel est le traitement de première intention pour une infection probable à gonocoque et à chlamydia?,Ceftriaxone 1000 mg IM ou IV dose unique,Doxycycline 200 mg PO 7 jours,Azithromycine 1g dose unique,Ciprofloxacine 500 mg PO 7 jours,a
1213,OIC-162-18-A-,Quelle est la durée du traitement par doxycycline pour une infection probable à chlamydia?,1 jour,3 jours,7 jours,14 jours,c
1214,OIC-162-19-A,Quel examen est recommandé pour le diagnostic de condylomes chez les femmes?,Uroculture,Frottis cervico-vaginal (FCV) ou test HPV-HR,Échographie pelvienne,Sérologie syphilitique,b
1215,OIC-162-19-A-,Quel examen est recommandé pour le diagnostic de condylomes chez les hommes atteints d'une atteinte urétrale?,Uroculture,Uroscopie,Échographie rénale,Sérologie syphilitique,b
1216,OIC-162-20-A,Quel antibiotique est recommandé en première intention pour le traitement d'une gonococcie chez un patient allergique aux β-lactamines?,Ceftriaxone 1000 mg IM ou IV dose unique,Azithromycine 1g dose unique,Gentamicine dose unique,Ciprofloxacine dose unique,b
1217,OIC-162-21-B,Quel est le traitement recommandé pour une infection génitale haute non compliquée selon les recommandations de 2018?,Ceftriaxone 1g IV/IM dose unique,Doxycycline 100mg/12h per os 10 jours,Métronidazole 500mg/12h per os 10 jours,Ceftriaxone 1g IV/IM dose unique + Doxycycline 100mg/12h per os 10 jours + Métronidazole 500mg/12h per os 10 jours,d
1218,OIC-162-21-B-,"Pour le traitement du gonocoque, quelle est la dose recommandée de Ceftriaxone selon les recommandations de 2018?","100 mg/j, IV, 14 jours","500 mg/j, IV, 14 jours","1 g/j, IV, 14 jours","2 g/j, IV, 14 jours",c
1219,OIC-162-22-A,Quelle est la méthode de prévention la plus efficace contre les IST?,L'utilisation de préservatifs,La vaccination contre l'HPV,Le traitement des partenaires contaminés,La sérologie VIH,a
1220,OIC-162-22-A-,Quel test est recommandé pour le dépistage de la gonococcie et de la chlamydiose?,Sérologie VIH,PCR urinaire ou génitale,Test tréponémique,Sérologie d'hépatite B,b
1221,OIC-162-23-A,Quel est le signe clinique caractéristique de la syphilis primaire?,Roséole syphilitique,"Chancre unique, induré, génital",Syphilides papuleuses,Fébricule,b
1222,OIC-162-23-A-,Quel est le signe clinique caractéristique de la syphilis secondaire?,"Chancre unique, induré, génital",Roséole syphilitique,Syphilides papuleuses,Fébricule,b
1223,OIC-162-24-B,Quelle est la définition de la syphilis latente tardive?,Présence de signes cliniques et sérologie positive depuis plus d'un an,Absence de signe clinique et sérologie positive dont la date présumée du contact est de plus d'un an,Présence de signes cliniques et sérologie négative,Absence de signe clinique et sérologie négative,b
1224,OIC-162-24-B-,Quelle est une forme clinique de syphilis tertiaire?,Syphilis gommeuse,Syphilis osseuse,Syphilis cardiovasculaire,Neurosyphilis tertiaire,c
1225,OIC-162-25-B,Quelle est la première éruption cutanée observée dans la syphilis secondaire?,Roséole syphilitique,Syphilides papuleuses,Syphilides palmoplantaires,Syphilides génitales et périnéales,a
1226,OIC-162-26-B-,Quelle est la caractéristique principale de la syphilis secondaire observée dans la photographie?,Lésions cutanées papulaires,Lésions cutanées ulcéreuses,Syphilides palmaires,Lésions cutanées érythémateuses,c
1227,OIC-162-27-A,Quel est le test utilisé pour détecter spécifiquement les tréponématoses?,VDRL,TPHA,RPR,ELISA,b
1228,OIC-162-27-A-,Quel est le test qui n'est pas spécifique des tréponématoses?,TPHA,ELISA,VDRL,TNT,c
1229,OIC-162-28-A,Quel est le traitement de première intention pour la syphilis primaire chez un patient non allergique à la pénicilline?,Doxycycline 14 jours,"Benzathine pénicilline G 2,4 millions d’unités IM dose unique",Ceftriaxone 250 mg IM ou IV dose unique,Azithromycine 1 g en une seule prise,b
1230,OIC-162-28-A-,Quel est le traitement recommandé pour un patient VIH+ atteint de syphilis primaire ou secondaire?,Doxycycline 14 jours,"Benzathine pénicilline G 2,4 millions d’unités IM dose unique",Ceftriaxone 250 mg IM ou IV dose unique,Azithromycine 1 g en une seule prise,b
1231,OIC-162-29-B,Quel est le traitement recommandé pour la syphilis secondaire précoce chez un patient non allergique à la pénicilline?,Doxycycline 14 jours,"Benzathine pénicilline G 2,4 millions d’unités IM dose unique","Benzathine pénicilline G 2,4 millions d’unités IM 1 fois par semaine pendant 3 semaines",Ceftriaxone 1 g IM dose unique,b
1232,OIC-162-29-B-,"Pour un patient VIH+ atteint de syphilis primaire ou secondaire, quel est le traitement recommandé?",Doxycycline 14 jours,"Benzathine pénicilline G 2,4 millions d’unités IM dose unique","Benzathine pénicilline G 2,4 millions d’unités IM 1 fois par semaine pendant 3 semaines",Ceftriaxone 1 g IM dose unique,b
1233,OIC-162-30-A,Quelle est la localisation typique des condylomes acuminés?,Sur le visage,Sur les mains,Sur les organes génitaux,Sur les jambes,c
1234,OIC-162-30-A-,Quelle est la description des condylomes plans?,Papules rouges,Maculo-papules rosées,Lésions pré-cancéreuses,Lésions cancéreuses,b
1235,OIC-162-31-B,Quel est le vaccin utilisé pour la prévention des infections liées au HPV chez les enfants de 11 à 19 ans?,Vaccin quadrivalent,Vaccin nonavalent,Vaccin hexavalent,Vaccin pentavalent,b
1236,OIC-162-31-B-,Quelle méthode de traitement physique est utilisée pour les lésions liées au HPV?,Cryothérapie,Chirurgie,Imiquimod,Podophyllotoxine,a
1237,OIC-162-32-B,Quel est le parasite responsable de la trichomonose?,Trichomonas vaginalis,Sarcoptes scabiei hominis,Phtirius inguinalis,Papillomavirus humain (HPV),a
1238,OIC-162-32-B-,Quel est le parasite responsable de la pédiculose du pubis?,Trichomonas vaginalis,Sarcoptes scabiei hominis,Phtirius inguinalis,Papillomavirus humain (HPV),c
1239,OIC-162-33-B,Quel prélèvement est recommandé pour le diagnostic d'une infection à Neisseria gonorrheae chez l'homme?,1er jet urinaire ou écoulement urétral spontané,Auto-écouvillonnage vaginal,Prélèvement pharyngé,Prélèvement anal,a
1240,OIC-162-33-B-,"Pour le diagnostic d'une chlamydiose chez la femme, quel type de prélèvement est recommandé?",1er jet urinaire ou écoulement urétral spontané,Auto-écouvillonnage vaginal,Prélèvement pharyngé,Prélèvement anal,b
1241,OIC-162-34-B,Quel est le traitement de première intention pour une infection gonococcique non compliquée chez un homme?,Ceftriaxone 1000 mg IM ou IV dose unique,Doxycycline 7 jours,Azithromycine 1g dose unique,Ciprofloxacine 7 jours,a
1242,OIC-162-34-B-,Quel est le traitement de première intention pour une infection à Chlamydia trachomatis chez une femme enceinte?,Doxycycline 7 jours,Azithromycine 1g dose unique,Ceftriaxone 1000 mg IM ou IV dose unique,Erythromycine 7 jours,b
1243,OIC-162-35-A,Quelles sont les principales conséquences à long terme des IGH chez la femme?,Algies pelviennes inflammatoires,Stérilité tubaire,Grossesse extra-utérine,Toutes les réponses ci-dessus,d
1244,OIC-162-37-B,Quelle est la cause principale des condylomes acuminés?,Herpes simplex virus (HSV),Papillomavirus humain (HPV),Herpes zoster virus (HZV),Cytomegalovirus (CMV),b
1245,OIC-164-01-A,Quel type d'exanthème est caractérisé par une éruption avec des intervalles de peau saine?,Exanthème vésiculo-pustuleux,Exanthème maculeux sans intervalle de peau saine,Exanthème maculo-papuleux avec intervalles de peau saine,Exanthème érythémateux,c
1246,OIC-164-02-A-,Quel est le principal facteur favorisant la fasciite nécrosante chez l'enfant?,Varicelle,Rougeole,Syndrome toxinique,DRESS,a
1247,OIC-164-03-A,Quelle est la caractéristique principale de l'exanthème maculeux sans intervalle de peau saine?,Erythème vésiculo-pustuleux,Erythème maculo-papuleux,Erythème maculeux sans intervalle de peau saine,Erythème localisé infiltré chaud et douloureux,c
1248,OIC-164-03-A-,"Quel est le diagnostic le plus probable chez un enfant présentant une fièvre ≥ 5 jours, des adénopathies cervicales, une atteinte muqueuse (conjonctivite, glossite), une pharyngite et des œdèmes des extrémités?",Syndrome de Stevens Johnson,Syndrome de Lyell,Syndrome de Kawasaki,Erythème polymorphe majeur,c
1249,OIC-164-04-A,Quelle est la durée de contagiosité de la rougeole?,1 jour avant et 1 jour après l'éruption,5 jours avant et 5 jours après l'éruption,10 jours avant et 10 jours après l'éruption,15 jours avant et 15 jours après l'éruption,b
1250,OIC-164-05-A,Quelle est la principale voie de transmission du virus de la rubéole?,Voie digestive,Voie respiratoire,Voie transplacentaire,Voie sanguine,b
1251,OIC-164-05-A-,Quel est le risque majeur associé à une infection par le virus de la rubéole en cours de grossesse?,Décès in utero,Malformations congénitales,Atteinte neurologique,Atteinte cardiaque,b
1252,OIC-164-06-A,Quel est le mode de transmission principal du Parvovirus B19?,Par voie sanguine,Par voie respiratoire,Par contact cutané,Par voie sexuelle,b
1253,OIC-164-06-A-,Quelle est la première localisation de l'éruption maculopapuleuse dans le mégalérythème épidémique?,Tronc,Membres,Joues,Visage,c
1254,OIC-164-07-A,Quel est le virus responsable de la roséole chez l'enfant?,Virus de la grippe,Virus HHV6,Virus de l'herpès simplex,Virus de la varicelle,b
1255,OIC-164-07-A-,Quelle est la durée typique de l'incubation de la roséole chez l'enfant?,2 à 4 jours,5 à 15 jours,1 à 2 semaines,3 à 4 semaines,b
1256,OIC-164-08-A,Quel est le virus le plus souvent en cause dans la mononucléose infectieuse?,Virus de la grippe,Virus Epstein-Barr,Virus de la varicelle,Virus de l'herpès simplex,b
1257,OIC-164-08-A-,Quel est le signe clinique le plus fréquent dans la mononucléose infectieuse?,Fièvre,Angine pseudomembraneuse,Polyadénopathies,Splénomégalie,c
1258,OIC-164-09-A,Quel est le principal agent pathogène responsable de la scarlatine?,Staphylococcus aureus,Streptococcus pneumoniae,Streptococcus pyogenes,Haemophilus influenzae,c
1259,OIC-164-10-A,Quel est le principal facteur de risque de dilatation coronaire dans la maladie de Kawasaki?,Fièvre supérieure à 40°C,Durée de la fièvre supérieure à 10 jours,Adénopathies cervicales bilatérales,Exanthème maculopapuleux,b
1260,OIC-164-10-A-,Quel est le traitement de première intention pour la maladie de Kawasaki?,Antibiotiques,Corticoïdes,Immunoglobulines intraveineuses,Aspirine à dose anti-inflammatoire,c
1261,OIC-176-01-A-,Quelle est la définition d'une diarrhée chronique chez l'adulte selon le contenu éducatif?,Émission de selles molles ou liquides plus de 3 fois par jour,Émission de selles molles ou liquides plus de 3 fois par 24h,"Émission de selles molles ou liquides plus de 3 fois par jour et/ou une quantité de selles > 250g/24h, avec une durée d'évolution supérieure à 4 semaines","Émission de selles molles ou liquides plus de 3 fois par jour et/ou une quantité de selles > 250g/24h, avec une durée d'évolution inférieure ou égale à 1 semaine",c
1262,OIC-176-02-A,Quelle est la principale cause de diarrhées chez l'adulte?,Infectieuses,Fonctionnelles,Médicamenteuses,Inflammatoires,a
1263,OIC-176-02-A-,Quel est le mécanisme principal des diarrhées d'origine infectieuse?,Sécrétoire,Invasif,Sécrétoire et invasif,Aucun des deux,c
1264,OIC-176-03-A,Quelle est la principale complication à rechercher chez un enfant présentant une diarrhée infectieuse?,Déshydratation aigue,Sepsis,Syndrome hémolytique et urémique (SHU),Tableau pseudo-occlusif post-diarrhée,a
1265,OIC-176-03-A-,Quel est le critère d'hospitalisation chez un enfant présentant une diarrhée infectieuse?,Perte de poids ≥5% chez l'enfant,Perte de poids ≥10% chez l'enfant,Perte de poids ≥15% chez l'enfant,Perte de poids ≥20% chez l'enfant,b
1266,OIC-176-05-A-,Quel est le micro-organisme le plus souvent responsable des diarrhées chez l'enfant?,Staphylococcus aureus,Escherichia coli,Rotavirus,Salmonella,c
1267,OIC-176-06-B,Quel parasite est le plus fréquemment retrouvé chez l'enfant et l'adulte post voyage?,Giardia intestinalis,Cryptosporidium spp,Microsporidies,Ascaridiose,a
1268,OIC-176-06-B-,"En cas d'immunosuppression par le VIH, après avoir éliminé une cryptosporidiose et une microsporidiose, quel parasite doit-on rechercher?",Giardia intestinalis,Cryptosporidium spp,Cystoisospora belli,Ascaridiose,c
1269,OIC-176-07-A,Quel examen complémentaire est recommandé en cas de diarrhée aiguë fébrile chez un adulte?,Examen parasitologique des selles,Coproculture,Hémocultures,Examen virologique,b
1270,OIC-176-07-A-,Quel examen complémentaire est recommandé chez un enfant en cas de diarrhée persistante après un séjour en zone d'endémie?,Coproculture,Examen parasitologique des selles,Hémocultures,Examen virologique,b
1271,OIC-176-08-B,Quel examen parasitologique des selles est indiqué en cas de diarrhée au retour d'un voyage en zone tropicale avec des selles glairo-sanglantes?,Recherche de giardiase,Recherche d'amoebose intestinale,Recherche de cryptosporidiose,Recherche d'anguillulose,b
1272,OIC-176-08-B-,"En cas de diarrhées chroniques chez un enfant, quel examen parasitologique des selles peut être demandé en premier lieu?",Recherche de giardiase,Recherche d'amoebose intestinale,Recherche de cryptosporidiose,Recherche d'anguillulose,a
1273,OIC-176-09-A,Quels examens complémentaires sont essentiels pour évaluer la déshydratation chez un patient avec diarrhée infectieuse?,Gaz du sang avec lactates,"Ionogramme sanguin, créatininémie, NFS",Évaluation des dysfonctions d'organe,Cultures bactériologiques,b
1274,OIC-176-09-A-,Quel examen est crucial pour évaluer un sepsis chez un patient avec diarrhée infectieuse?,Ionogramme sanguin,Gaz du sang avec lactates,NFS,Cultures bactériologiques,b
1275,OIC-176-10-B,Quelle est l'indication principale de la rectosigmoïdoscopie/colonoscopie dans le contexte des diarrhées infectieuses?,Diarrhées aiguës sans cause identifiée,Diarrhées persistantes sans cause identifiée malgré le bilan précédemment décrit,Diarrhées aiguës chez l'enfant,Diarrhées aiguës chez l'adulte,b
1276,OIC-176-11-A,Quel est le traitement de première intention pour la réhydratation chez l'adulte présentant une déshydratation modérée?,Perfusion intraveineuse de sérum physiologique,Soluté de réhydratation orale (SRO),Lopéramide,Acétorphan,b
1277,OIC-176-11-A-,"Chez l'enfant, quel est le soluté recommandé pour la réhydratation intraveineuse en cas d'échec de la réhydratation orale?",Sérum physiologique NaCl 9‰,Soluté glucosé polyionique isotonique,Lactose,Lopéramide,b
1278,OIC-176-12-A,Quel est le premier principe de la prise en charge symptomatique de la diarrhée chez l'adulte?,Privilégier la voie orale pour corriger la déshydratation,Utiliser des antibiotiques systématiquement,Augmenter la consommation de lait,Réduire l'intensité de la diarrhée,a
1279,OIC-176-12-A-,Quel est le second principe de la prise en charge symptomatique de la diarrhée chez l'adulte?,Privilégier la voie orale pour corriger la déshydratation,Utiliser des antibiotiques systématiquement,Réduire l'intensité de la diarrhée,Augmenter la consommation de lait,c
1280,OIC-176-13-A,Quelle est la durée habituelle de l'antibiothérapie pour une infection à Yersinia spp chez l'adulte?,1 jour,3 jours,7 jours,10 jours,c
1281,OIC-176-13-A-,Quel est le traitement antibiotique préférentiel chez l'enfant pour une infection à Shigella spp?,Ciprofloxacine,Azithromycine,Cotrimoxazole,Ceftriaxone,b
1282,OIC-176-14-A,Quelle est la principale mesure de prévention pour éviter la transmission d'une diarrhée infectieuse chez l'enfant?,Utilisation de solutés hydro-alcooliques,Lavage des mains avec du savon,Consommation d'eau traitée,Eviction de la collectivité,b
1283,OIC-176-14-A-,Quel vaccin est recommandé pour prévenir la fièvre typhoïde chez l'enfant de plus de 2 ans?,Vaccin monovalent Typhim®,Vaccin bivalent Tyavax®,Vaccin anti-hépatite A,Vaccin anti-rotavirus,a
1284,OIC-176-15-A,Quelle est la définition d'une toxi-infection alimentaire collective?,Une infection causée par des bactéries pathogènes dans l'eau potable,Une infection causée par des bactéries pathogènes dans les aliments,Une infection causée par des virus dans les aliments,Une infection causée par des parasites dans l'eau potable,b
1285,OIC-176-15-A-,Quel est le principal vecteur de transmission des toxi-infections alimentaires?,L'eau potable contaminée,Les aliments contaminés,Les surfaces de contact,Les animaux domestiques,b
1286,OIC-176-16-A,Quelle est la principale complication à surveiller chez un patient présentant une diarrhée infectieuse?,Une infection respiratoire,Une déshydratation,Une hypertension artérielle,Une allergie alimentaire,b
1287,OIC-176-16-A-,Quel est le signe clinique le plus préoccupant d'une déshydratation sévère chez un enfant?,Une pâleur cutanée,Une diminution de la fréquence cardiaque,Une diminution de la fréquence respiratoire,Une diminution de la production d'urine,d
1288,OIC-176-17-A,Quel est le principal objectif de la réhydratation orale dans le traitement des diarrhées aiguës?,Réduire la fièvre,Prévenir ou corriger la déshydratation,Éliminer les bactéries responsables,Accélérer la guérison,b
1289,OIC-176-17-A-,Quel est le traitement symptomatique le plus couramment utilisé pour soulager la diarrhée aiguë?,Antibiotiques,Anti-inflammatoires,Anti-diarrhéiques,Antihistaminiques,c
1290,OIC-179-02-B-,Quelle parasitose est transmise par la consommation de poisson cru ou mal cuit?,Toxoplasmose,Taeniasis,Anisakidose,Trichinellose,c
1291,OIC-179-03-A,Quelle est la principale cause de troubles gastro-intestinaux liés à la consommation d'eau polluée?,Pollution par des pesticides,Pollution microbienne et parasitaire,Pollution par des métaux lourds,Pollution par des désinfectants,b
1292,OIC-179-03-A-,Quel micro-organisme est responsable de l'atteinte neurologique liée à la consommation d'eau polluée?,Salmonella typhi,Clostridium botulinum,E.coli entérohémorragique,Shigella,b
1293,OIC-179-04-B,Quelle est la principale source de pollution chimique de l'eau?,Sodium,Nitrates,Phosphates,Métaux lourds,b
1294,OIC-179-04-B-,Quel microorganisme est responsable de la choléra?,Salmonelles,Shigelles,Vibrio cholerae,Entamoeba histolytica,c
1295,OIC-179-05-A,Quelle est la première étape de la prévention des risques sanitaires liés à l'eau?,Filtration et traitement de l'eau,Protection des points de captage,Entretien du réseau de distribution,Contrôle de qualité,b
1296,OIC-179-05-A-,Quelle mesure est essentielle pour assurer la qualité de l'eau distribuée?,Protection des points de captage,Filtration et traitement de l'eau,Contrôle de qualité,Entretien du réseau de distribution,c
1297,OIC-179-06-A,Quel est le principal risque lié à la consommation de poisson mal conservé?,Troubles gastro-intestinaux,Éruption cutanée,Syndrome histaminique,Atteinte neurologique,c
1298,OIC-179-06-A-,Quel agent est responsable du syndrome hémolytique et urémique (SHU)?,Virus,Parasites,E.coli entérohémorragique,Macromycètes,c
1299,OIC-179-07-A,Quelle est la définition d'une toxi-infection alimentaire collective (TIAC)?,"Apparition d'au moins 2 cas d'une symptomatologie en général digestive, dont on peut rapporter la cause à une même origine alimentaire.","Apparition d'au moins 2 cas d'une symptomatologie en général digestive, dont on peut rapporter la cause à une même origine médicamenteuse.","Apparition d'au moins 2 cas d'une symptomatologie en général digestive, dont on peut rapporter la cause à une même origine environnementale.","Apparition d'au moins 2 cas d'une symptomatologie en général digestive, dont on peut rapporter la cause à une même origine génétique.",a
1300,OIC-179-07-A-,Quel agent peut être à l'origine d'une TIAC avec une symptomatologie neurologique?,Staphylococcus aureus,Clostridium botulinum,Escherichia coli entérotoxinogène,Vibrio parahaemolyticus,b
1301,OIC-179-08-A,Quel est le mécanisme d'action de Staphylococcus aureus dans les toxi-infections alimentaires?,Infectieux,Toxinique : toxi-infection liée à une toxine thermostable,Toxinique : entérotoxine produite dans l'intestin,Infectieux et toxinique,b
1302,OIC-179-08-A-,Quel est le délai d'incubation typique pour le botulisme causé par Clostridium botulinum?,12-24 heures,2-4 heures,12-72 heures,8-24 heures,c
1303,OIC-179-09-A,Quelle est la première étape pour suspecter une TIAC?,Surveillance des cas individuels,Survenue de cas groupés de troubles gastro-intestinaux,Analyse des aliments consommés,Consultation d'un médecin généraliste,b
1304,OIC-179-09-A-,Quel est le statut de la TIAC en termes de déclaration?,Déclaration facultative,Déclaration recommandée,Déclaration obligatoire,Déclaration confidentielle,c
1305,OIC-179-11-A,Quelle est la première mesure de prévention des TIAC en dehors d’un contexte de TIAC?,Surveillance médicale du personnel,Prélèvements microbiologiques de routine,Application de règles d’hygiène durant toute la chaîne de préparation alimentaire,Suspension des activités de restauration,c
1306,OIC-183-01-B,Quel est le mode d'organisation principal des services de santé au travail (SPST) pour les entreprises ayant au moins un salarié?,Service interne à l'entreprise,Service commun à plusieurs entreprises,Service autonome,Service externe,b
1307,OIC-183-01-B-,Quel professionnel anime généralement les équipes pluridisciplinaires des SPST?,Infirmier,Ergonome,Psychologue,Médecin du travail,d
1308,OIC-183-04-A,Quelle est la fréquence minimale des visites d’information de prévention pour les salariés non exposés à des risques professionnels particuliers?,Tous les 3 ans,Tous les 5 ans,Tous les 10 ans,Tous les 15 ans,b
1309,OIC-183-05-B,Quel document résume les risques professionnels et les préconisations du médecin du travail pour réduire l'exposition à ces risques?,Dossier médical en santé au travail,Fiche d’entreprise,Fiche d’aptitude / inaptitude,Fiche de poste,b
1310,OIC-183-05-B-,Quel document est transmis à l'employeur et contient l'avis du médecin du travail sur les dangers existants dans l'entreprise?,Dossier médical en santé au travail,Fiche d’entreprise,Fiche d’aptitude / inaptitude,Fiche de poste,b
1311,OIC-183-06-A,Quel est le but principal de la prévention primaire dans le contexte professionnel?,Dépister les pathologies liées au travail,Maintenir les personnes atteintes dans l'emploi,Éviter l'apparition d'effets délétères chez les salariés,Adaptation du poste de travail pour les personnes atteintes,c
1312,OIC-183-06-A-,Quelle est la principale méthode de prévention secondaire dans le contexte professionnel?,Adaptation du poste de travail,Vaccination,Dépistage précoce des pathologies liées au travail,Éviter l'exposition aux risques professionnels,c
1313,OIC-183-07-B,Quelle est la première étape de la démarche d'évaluation des risques professionnels?,Evaluation de l'exposition,Identification et caractérisation des dangers,Estimation des risques encourus,Plan de prévention,b
1314,OIC-183-07-B-,Quelle est la troisième étape de la démarche d'évaluation des risques professionnels?,Identification et caractérisation des dangers,Evaluation de l'exposition,Estimation des risques encourus,Plan de prévention,c
1315,OIC-183-08-A,Quelle est la première étape de la démarche de gestion des risques?,Limiter les émissions à la source,Limiter l'exposition des salariés,Supprimer les dangers,Evaluer l'efficacité des mesures de prévention,c
1316,OIC-183-08-A-,Quelle est la deuxième étape de la démarche de gestion des risques si la suppression des dangers est impossible?,Limiter l'exposition des salariés,Evaluer l'efficacité des mesures de prévention,Limiter les émissions à la source,Supprimer les dangers,c
1317,OIC-186-01-B,Quelle est la différence entre une sensibilisation et une allergie?,"La sensibilisation est la présence d'IgE sans symptômes, l'allergie est la présence de symptômes avec IgE","La sensibilisation est la présence de symptômes avec IgE, l'allergie est la présence d'IgE sans symptômes","La sensibilisation est la présence d'IgG4, l'allergie est la présence d'IgE","La sensibilisation est la présence de lymphocytes T, l'allergie est la présence d'IgE",a
1318,OIC-186-01-B-,Quel type d'hypersensibilité est médié par les IgE?,Type 1,Type 2,Type 3,Type 4,a
1319,OIC-186-02-B,Quel est le principal allergène du venin d'abeille?,Hyaluronidase,Phospholipase A1,Phospholipase A2,Antigène 5,c
1320,OIC-186-02-B-,Quel est le pourcentage de la population générale qui présente des réactions systémiques potentiellement responsables d'anaphylaxie sévère?,"0,3 à 7,5 %",10 à 40 %,"0,03 à 0,45/million d’habitants/an",50 %,a
1321,OIC-186-03-B-,Quel est le principal facteur prédisposant de mortalité lors du choc anaphylactique?,L'âge avancé,L'allergie alimentaire,L'asthme pré-existant,La consommation d'alcool,c
1322,OIC-186-04-B,Quelle est la prévalence de l'hypersensibilité médicamenteuse dans la population générale?,10%,7%,5%,3%,b
1323,OIC-186-04-B-,Quel est le type d'hypersensibilité médicamenteuse le plus fréquent?,Allergique,Non allergique,Anaphylactique,Urticarienne,b
1324,OIC-186-05-B,Quelle est la prévalence des allergies aux venins d'hyménoptères chez l'adulte en France?,1 à 5 %,5 à 10 %,10 à 15 %,15 à 20 %,a
1325,OIC-186-06-A,Quel est le principal allergène responsable des symptômes per-annuels dans les allergies respiratoires?,Pollen d'arbres,Moisissures d'extérieur,Acariens et blattes,Pollen de graminées,c
1326,OIC-186-06-A-,Quel type d'allergène est le plus souvent impliqué dans les phénomènes allergiques saisonniers?,Acariens et blattes,Moisissures d'extérieur,Pollen d'arbres,Phanères d'animaux,c
1327,OIC-186-07-A,Quel est le principal allergène responsable d’allergie alimentaire médiée par les IgE chez les enfants avant l’âge de 6 mois?,L’arachide,L’œuf,Le lait,La morue,c
1328,OIC-186-08-B,Quel est le principal aliment responsable d'allergies alimentaires anaphylactiques sévères chez les enfants et adultes?,Lait,Arachide,Poisson,Fruits,b
1329,OIC-186-08-B-,Quelle est la fréquence de l'allergie à l'arachide dans la population générale?,0.5%,1%,2%,3%,b
1330,OIC-186-09-B,Quel est le mécanisme principal responsable des allergies croisées entre allergènes respiratoires et alimentaires?,Réaction immédiate à un allergène unique,Reconnaissance par les IgE spécifiques d’allergènes similaires ou de forte homologie,Réaction tardive à un allergène unique,Réaction immédiate à un allergène unique,b
1331,OIC-186-09-B-,Quel est le tableau clinique le plus fréquent des allergies croisées entre allergènes respiratoires et alimentaires?,Syndrome œuf-oiseau,Syndrome oral,Syndrome œuf-oiseau,Syndrome oral,b
1332,OIC-186-11-A,Quel facteur environnemental est associé à une augmentation de la fréquence de l'atopie chez les enfants?,Exposition aux endotoxines bactériennes,Vie en milieu rural,Baisse de la biodiversité microbienne,Exposition aux moisissures,c
1333,OIC-186-12-B,Quel est l'indication principale du test de dépistage IgE multiallergénique?,Dépister une infection virale,Évaluer la fonction pulmonaire,Identifier des IgE spécifiques à un panel d’allergènes,Mesurer la pression artérielle,c
1334,OIC-186-13-B,Quel est le délai de lecture pour les pricks?,10 minutes,15 minutes,30 minutes,60 minutes,b
1335,OIC-186-14-A,Quel est l'objectif principal de l'éducation thérapeutique dans l'allergie alimentaire?,Apprendre à cuisiner des plats sans allergènes,Autonomiser le patient allergique et sa famille,Augmenter la consommation d'aliments transformés,Diminuer l'utilisation des antihistaminiques,b
1336,OIC-186-14-A-,Quel élément est inclus dans la trousse d'urgence pour un patient allergique?,Des antibiotiques,Des antihistaminiques H1,Des laxatifs,Des analgésiques,b
1337,OIC-186-15-A,Quel est le principal symptôme d'une conjonctivite allergique?,Démangeaisons,Douleur intense,Larmoiement,Inflammation de l'œil,a
1338,OIC-186-17-A-,Quel est l'allergène le plus fréquemment retrouvé chez les enfants selon la cohorte ELFE?,L'arachide,Le gluten,Le lait,Le poisson,c
1339,OIC-186-18-A,Quelle est la prévalence de l'asthme chez les enfants en France?,5%,10%,25%,50%,b
1340,OIC-186-18-A-,Quel est le principal facteur déclenchant de l'asthme chez l'enfant?,Exposition au tabac,Infections virales,Pollution de l'air intérieur,Altération du microbiote du nouveau-né,b
1341,OIC-186-19-A,Quel est l'indication principale du test de dépistage IgE multiallergénique chez l'enfant?,Pour confirmer une allergie déjà diagnostiquée,Lorsque l'interrogatoire oriente vers une allergie respiratoire ou alimentaire et que le recours à un allergologue n'est pas possible avant plusieurs mois,Pour évaluer la gravité d'une allergie connue,Pour déterminer le type d'allergène responsable d'une réaction allergique,b
