id,question,option_a,option_b,option_c,option_d,correct_option
OIC-161-21-B,Quel est le premier élément à rechercher devant un coma non traumatique chez l'adulte?,Présence de fièvre,Présence d'un syndrome méningé,Présence de troubles oculomoteurs,Présence d'un traumatisme,a
OIC-161-21-B-,Quels sont les critères diagnostiques de mort cérébrale selon l'objectif de connaissance?,"Coma profond Glasgow = 3, abolition de tous les réflexes du tronc cérébral, un des examens complémentaires confirmant le diagnostic","Coma profond Glasgow = 4, abolition de tous les réflexes du tronc cérébral, un des examens complémentaires confirmant le diagnostic","Coma profond Glasgow = 5, abolition de tous les réflexes du tronc cérébral, un des examens complémentaires confirmant le diagnostic","Coma profond Glasgow = 6, abolition de tous les réflexes du tronc cérébral, un des examens complémentaires confirmant le diagnostic",a
OIC-161-22-B,Quel est le seuil de glycémie qui évoque une hypoglycémie chez un patient en coma non traumatique?,2 mmol/L,3 mmol/L,4 mmol/L,5 mmol/L,b
OIC-161-22-B-,Quel est le score de Glasgow qui indique une perte de protection des voies aériennes?,7,8,9,10,b
OIC-162-01-A,Quel examen doit être réalisé en premier chez un patient en coma non traumatique?,Scanner cérébral,Glycémie capillaire,Bilan biologique simple,Ponction lombaire,b
OIC-162-01-A-,Quelle est l'indication principale de l'IRM en urgence chez l'adulte?,Suspicion d'AVC hémorragique,Suspicion d'AVC ischémique,Suspicion de tumeur cérébrale,Suspicion de traumatisme crânien,b
OIC-162-02-B,Quelle est la caractéristique principale d'une hémorragie intracérébrale sur une tomodensitométrie?,Hyperdensité spontanée dans les espaces sous-arachnoïdiens,Hyperdensité spontanée au sein du parenchyme cérébral,Inondation ventriculaire possible,Effet de masse possible,b
OIC-162-02-B-,Quel est l'effet de l'engagement sous-falcoriel sur la ligne médiane?,Aucune déviation,Déviation vers la droite,Déviation vers la gauche,Déviation vers le bas,c
OIC-162-03-A,Quelle est la principale cause de coma non traumatique chez l'adulte?,Hématome intracérébral,Encéphalopathie hypercapnique,Etat de mal épileptique,Méningite,b
OIC-162-03-A-,Quel est le premier geste à effectuer lors d'une hypoglycémie chez un patient comateux?,Administration de sérum glucosé,Libération des voies aériennes,Oxygénothérapie,Appel à l'aide,b
OIC-162-04-A,Quelle est la première mesure thérapeutique à prendre en cas de coma non traumatique chez un adulte avec un score de Glasgow inférieur à 8 et sans cause rapidement réversible?,Administration de glucose,Intubation orotrachéale et mise sous ventilation mécanique,Mise en place d'un drain thoracique,Administration de diurétiques,b
OIC-162-04-A-,Quelle est la définition d'une syncope?,Vague sensation de mal-être ou de trouble des fonctions physiologiques,"Manifestation clinique secondaire à une hypoperfusion cérébrale globale passagère, spontanément résolutive",Manifestation clinique de mécanisme identique aux syncopes mais la durée d’hypoperfusion cérébrale est trop brève pour entraîner une perte de connaissance complète,Manifestation clinique liée à l’hyperactivité paroxystique synchrone de neurones corticaux et à la propagation de cette activité,b
OIC-162-05-A,Quel est le mécanisme physiopathologique principal d'un malaise chez l'adulte?,Hypoperfusion cérébrale,Dysfonctionnement de l'activité cérébrale,Hypertension artérielle,Diabète,a
OIC-162-05-A-,Quel est le critère diagnostique majeur pour distinguer une syncope d'une crise d'épilepsie généralisée?,La durée de la perte de connaissance,La présence de mouvements anormaux,La recherche de prodromes,La circonstance de survenue,a
OIC-162-06-A,Quelles sont les circonstances déclenchantes des syncopes et lipothymies?,Présence de prodromes,Survenue à l'effort ou en position allongée,Traumatisme,Circonstances déclenchantes,d
OIC-162-06-A-,Quelle est la définition de l'hypotension orthostatique?,Baisse de la pression artérielle systolique de plus de 20 mmHg en moins de 3 minutes après le passage à l'orthostatisme,Baisse de la pression artérielle diastolique de plus de 10 mmHg en moins de 3 minutes après le passage à l'orthostatisme,Pression artérielle systolique inférieure à 90 mmHg en moins de 3 minutes après le passage à l'orthostatisme,Toutes les réponses ci-dessus sont correctes,d
OIC-162-07-A,Quelle est la principale caractéristique d'un événement épileptique?,Une perte de conscience soudaine,Une douleur intense dans la tête,Une sensation de vertige,Une augmentation de la température corporelle,a
OIC-162-07-A-,Quelle est la cause la plus fréquente des syncopes chez l'adulte?,Hypotension orthostatique,Arrêt cardiaque,Épilepsie,Hypoglycémie,a
OIC-162-08-A,Quelle est la cause neurologique la plus courante de malaise sans perte de connaissance chez l'adulte?,Hypoglycémie,Catalepsie,Méningite,Arrêt de traitement,b
OIC-162-08-A-,Quelle est une cause non cardiaque de malaise mentionnée dans le contenu éducatif?,Hypertension,Hypoglycémie,Infarctus du myocarde,Crise d'asthme,b
OIC-162-09-B,Quelle est la gravité des malaises liés à des causes cardiaques?,"Mineure, pas besoin de surveillance","Moyenne, surveillance à domicile","Grave, hospitalisation avec surveillance continue du rythme cardiaque","Inconnue, nécessite des tests supplémentaires",c
OIC-162-09-B-,Quelles sont les anomalies ECG ayant valeur diagnostique immédiate en cas de syncope ou lipothymie?,Arrêt cardiaque,Bloc de branche gauche,Tachycardie ventriculaire,Bloc de branche droite,c
OIC-162-10-A,Quelles sont les indications d'un électroencéphalogramme en cas de malaise ou de perte de connaissance présumés d'origine épileptique?,Pour confirmer un diagnostic de crise comitiale,Pour évaluer la fonction rénale,Pour détecter des anomalies cérébrales,Pour mesurer la pression artérielle,c
OIC-162-10-A-,Quel examen est utilisé pour évaluer les syncopes et lipothymies chez l'adulte?,Ionogramme sanguin,Test d'inclinaison,Monitoring ECG,Étude électrophysiologique endocavitaire,b
OIC-162-11-B,Quel est l'élément clinique qui justifie un avis cardiologique dans les moins de 24 h?,Perte de connaissance au cours d’un effort physique,Déviation de la tête lors de la perte de connaissance,Morsure de langue,Coma persistant,a
OIC-162-11-B-,Quel est le premier geste d'urgence à effectuer en présence d'une crise convulsive généralisée chez un adulte?,Appeler immédiatement les secours,Placer l'adulte sur le dos,Retirer les objets dangereux de la zone,Appliquer un massage cardiaque,a
OIC-162-12-A,Quel est le premier geste de secourisme à effectuer lors d'un malaise chez un adulte inconscient?,Appeler les secours,Surélever les jambes,Mettre en position latérale de sécurité,Appliquer de la glace sur le front,c
OIC-162-12-A-,Quelle est la recommandation principale pour le suivi d'un patient ayant subi une syncope de cause rythmique?,Hospitalisation immédiate,Suivi ambulatoire avec électrocardiogramme,Traitement médicamenteux immédiat,Surveillance par un témoin permanent,b
OIC-162-13-B,Quelle est la recommandation principale pour le suivi d'un patient après une crise de malaise ou de syncope?,Hospitalisation immédiate,Éducation du patient sur les signes à surveiller,Traitement médicamenteux immédiat,Consultation avec un neurologue,b
OIC-162-13-B-,Quelle est la recommandation principale pour le suivi d'un patient souffrant d'hypotension artérielle orthostatique chez un sujet âgé?,Augmenter immédiatement la dose de médicaments antihypertenseurs,Éduquer le patient sur les signes de malaise et les mesures à prendre,Prescrire un traitement hormonal substitutif,Réduire la consommation d'eau,b
OIC-162-14-B,Quel est l'objectif principal de la prescription d'un traitement anticonvulsivant chez un adulte?,Réduire la fréquence des crises convulsives,Augmenter la pression artérielle,Diminuer la température corporelle,Améliorer la fonction rénale,a
OIC-162-14-B-,Quel est le principe des traitements de longue durée d'action à associer au traitement de courte durée d'action dans la prise en charge de la crise comitiale chez l'adulte?,Associer un traitement de courte durée d'action à un traitement de longue durée d'action,Associer un traitement de courte durée d'action à un traitement de courte durée d'action,Associer un traitement de longue durée d'action à un traitement de courte durée d'action,Associer un traitement de longue durée d'action à un traitement de longue durée d'action,c
OIC-162-15-A,Quelle est la définition de la rétention aiguë d'urine?,Incapacité à uriner en raison d'une infection urinaire,Impossibilité totale et soudaine d’uriner malgré un besoin impérieux ou douloureux,Fréquence excessive de miction,Douleur lors de la miction,b
OIC-162-15-A-,Quelle est la principale cause de la rétention aiguë d’urine?,Une obstruction mécanique,Une anomalie de contraction détrusorienne,Une infection urinaire,Un stress psychologique,a
OIC-162-16-B,Quelle est la principale cause de rétention aiguë d’urine chez l’homme?,Hypertrophie bénigne de la prostate,Infections urinaires,Tumeurs de la prostate,Lithiase urinaire,a
OIC-162-16-B-,Quel est le symptôme principal de la rétention aiguë d’urine?,Douleur sus-pubienne,Agitation,Fièvre,Hématurie,a
OIC-162-17-B,Quel groupe de patients est particulièrement à risque de rétention aiguë d’urine non douloureuse?,Patients jeunes et actifs,Patients âgés hospitalisés pour un syndrome confusionnel,Patients diabétiques avec une neuropathie végétative,Patients avec une lésion médullaire au dessous de T6,b
OIC-162-17-B-,Quelle est la principale différence entre la rétention aiguë d’urine et l’anurie?,"La rétention aiguë d’urine est douloureuse, tandis que l’anurie ne l’est pas.","La rétention aiguë d’urine est associée à une envie d’uriner, tandis que l’anurie ne l’est pas.","La rétention aiguë d’urine est causée par un problème urinaire, tandis que l’anurie est causée par un problème rénal.","La rétention aiguë d’urine est un état temporaire, tandis que l’anurie est un état permanent.",b
OIC-162-18-A,Quel examen complémentaire peut être réalisé en cas de doute diagnostique sur une rétention d’urine?,Échographie abdominale,Échographie sus pubienne,Urographie intraveineuse,Cystoscopie,b
OIC-162-18-A-,Quel est l'objectif principal des examens complémentaires après le drainage vésical?,Évaluer la fonction rénale,Rechercher des complications,Évaluer la fonction hépatique,Évaluer la fonction cardiaque,b
OIC-162-19-A,Quel est l'élément de gravité en cas de rétention aiguë d'urine associée à une fièvre?,Hématurie,Insuffisance rénale aigue,Prostatite,Syndrome de levée d’obstacle,c
OIC-162-19-A-,Quel est l'avantage principal du sondage vésical par rapport au cathétérisme sus-pubien?,Permet les lavages vésicaux,Epreuve de clampage possible,Drainage déclive,Simple,d
OIC-162-20-A,Quelle est la première étape de la prise en charge en urgence de la rétention aiguë d’urine?,Évaluation du volume endovésical,Drainage vésical par sonde vésicale,Traitement ambulatoire,Hospitalisation immédiate,b
OIC-162-20-A-,Quelle est la définition de l'agitation?,État de tension émotionnelle et d'hyperactivité improductive physique et psychique,Syndrome de délire aigu,Trouble de l'humeur,Trouble de la mémoire,a
OIC-162-21-B,Quelle est la définition des idées délirantes?,"Altérations du contenu de la pensée entraînant une perte de contact avec la réalité, non partagée par le groupe socio-culturel.",Perception sensorielle sans présence d’objet détectable.,"Altérations du contenu de la pensée entraînant une perte de contact avec la réalité, partagée par le groupe socio-culturel.",Perception sensorielle avec présence d’objet détectable.,a
OIC-162-21-B-,Quels symptômes sont généralement associés à un délire aigu?,Seulement des idées délirantes,Seulement des hallucinations,Idées délirantes et hallucinations,Symptômes de désorganisation psychotique,c
OIC-162-22-A,Quelle est la cause la plus fréquente d'agitation chez une personne âgée?,Trouble hydro-électrolytique,Iatrogénie,Trouble métabolique,Endocrinopathie,b
OIC-162-22-A-,Quelle est la principale différence entre les étiologies des syndromes délirants aigus chez la personne âgée et l'adulte jeune?,Les étiologies sont identiques,Les étiologies sont plus fréquentes chez la personne âgée,Les étiologies sont plus graves chez l'adulte jeune,Les étiologies sont plus variées chez la personne âgée,a
OIC-162-23-A,Quel est le premier signe à rechercher lors de l'examen clinique d'un patient agité?,Trouble de la mémoire,Trouble de la conscience,Trouble de la vision,Trouble de la parole,b
OIC-162-23-A-,Quel est le processus de construction de l'idée délirante dans le trouble délirant persistant?,Interprétatif,Hallucinatoire,Intuitif et imaginatif,Systématisé avec une logique apparente,d
OIC-162-24-B,Quel type d'hallucination est souvent associé à des voix qui conversent entre elles et s'adressent au patient?,Hallucinations visuelles,Hallucinations auditives,Hallucinations gustatives,Hallucinations olfactives,b
OIC-162-24-B-,Quel est l'élément clinique qui doit vous faire craindre une étiologie non psychiatrique chez un patient présentant un état agité?,Syndrome confusionnel,Signes physiques de déshydratation,Signe de défaillance cardio-vasculaire ou respiratoire,Anomalie identifiée à l’examen neurologique et à l’examen physique général,c
OIC-162-25-B,Quel examen est systématiquement réalisé dans un contexte d’agitation?,Alcoolémie,Bilan biologique minimal,Imagerie cérébrale,Ponction lombaire,b
OIC-162-25-B-,Quel est le premier traitement recommandé pour apaiser l'état d'agitation sans sédation du patient?,Antipsychotiques,Benzodiazépines à demi-vie courte,Traitement spécifique du trouble psychiatrique,Hospitalisation en psychiatrie,b
OIC-162-26-B,Quelles sont les indications de l'hospitalisation libre et sans consentement pour un enfant?,L'agitation et le délire aigu,La dépression majeure,La schizophrénie,L'anxiété généralisée,a
OIC-162-26-B-,Quelle est la définition du suicide?,Un acte délibéré qui met fin à sa propre vie,Un comportement auto-infligé qui met la vie en jeu,Des pensées concernant le souhait de mourir,Un individu survivant à sa tentative de suicide,a
OIC-162-27-A,Quel est le taux de tentatives de suicide parmi les personnes de 18 à 75 ans selon le Baromètre santé 2017?,"7,2%","4,2%","0,39%","16,4%",a
OIC-162-27-A-,Quelle est la caractéristique principale d'une crise suicidaire?,Une crise qui dure plus de six mois,Une crise qui est permanente et irréversible,Une crise qui est temporaire et réversible,Une crise qui ne nécessite pas d'intervention médicale,c
OIC-162-28-A,Quel est le moyen le plus fréquent utilisé par les adolescents pour une tentative de suicide?,Pendaison/strangulation,Défenestration,Intoxication médicamenteuse volontaire,Blessures auto-infligées,c
OIC-162-28-A-,Quels sont les facteurs individuels qui influencent le risque de suicide?,Antécédents familiaux de décès par suicide,"Pathologie psychiatrique : dépression, abus de substances, troubles psychotiques",Soutien socio-familial perçu,Croyance religieuse,b
OIC-162-29-B,Quelle est la principale mesure de prévention primaire du suicide?,Prise en charge de la dépression,Réseaux d'accueil et d'écoute,Dispositifs de recontact,Numéro National Prévention suicide 2NPS,a
OIC-162-29-B-,Où doit-on effectuer l'entretien avec un patient suicidaire pour garantir la confidentialité?,Dans un lieu bruyant,En face-à-face dans un endroit calme,Par téléphone,Dans un lieu public,b
OIC-162-30-A,Quelle est la première étape à suivre lorsqu'un patient est en crise suicidaire?,Prescrire immédiatement un traitement médicamenteux,Accueillir le patient au calme et le sécuriser,Appeler les urgences médicales sans attendre,Conduire le patient à l'hôpital sans délai,b
OIC-162-30-A-,Quelles sont les indications d'hospitalisation pour un patient à risque suicidaire?,Pour stabiliser un patient au pronostic vital engagé,Pour traiter un trouble psychiatrique décompensé,Pour faciliter la résolution de la crise,Pour organiser le suivi ambulatoire ultérieur,a
OIC-162-31-B,Quel est l'élément essentiel dans la prise en charge d'un patient à risque suicidaire chez l'enfant et l'adolescent?,L'évaluation psychosociale seule,L'évaluation médicale seule,L'évaluation psychosociale associée à l'évaluation médicale,La participation des parents uniquement,c
OIC-162-31-B-,Quel est le premier élément à rechercher lors d'un épisode dépressif chez un sujet âgé?,Troubles psychiatriques comorbides,Douleur physique,Évaluation psychosociale,Épisode dépressif caractérisé,d
OIC-162-32-B,Quelle est la classification de Salter et Harris pour les fractures-décollements épiphysaires?,A. Fractures simples,B. Fractures complexes,C. Fractures selon la classification de Salter et Harris,D. Fractures en bois vert,c
OIC-162-32-B-,Quel type de fracture est le plus fréquent chez le petit enfant?,Fracture en motte de beurre,Fracture en bois vert,Fracture métaphysaire,Fracture complète,a
OIC-162-33-B,Quel est le rôle principal du périoste chez l'enfant lors d'une fracture?,Stabiliser la fracture rapidement,Promouvoir la croissance osseuse,Assurer la nutrition des os,Protéger les os contre les infections,a
OIC-162-33-B-,Où prédominent les fractures chez l'enfant?,Membres inférieurs,Membres supérieurs,Tête et cou,Tronc,b
OIC-162-34-B,Quel est le signe évocateur d'une maltraitance devant une fracture chez un enfant?,Fracture après l'âge de la marche,Contexte clair et expliqué,Retard à la présentation de l'enfant,Fracture en torsion,c
OIC-162-34-B-,Quel est le premier principe de prise en charge initiale des traumatismes chez l'enfant?,Immobiliser le membre,Prescrire une imagerie ciblée,Traiter la douleur,Prescrire un antalgique de niveau 2 ou 3,c
OIC-162-35-A,Quelle est l'indication principale pour demander une radiographie chez un enfant avec une fracture?,Pour comparer avec un cliché antérieur,Pour évaluer la lésion osseuse,Pour confirmer la présence d'une fracture,Pour évaluer les épiphyses,c
OIC-162-35-A-,Quel est le principal risque associé aux immobilisations plâtrées chez l'enfant?,Infection,Détérioration de la plaque de croissance,Perte de mobilité,Douleur chronique,b
OIC-162-36-B,Quel est le premier signe de syndrome compartimental chez un enfant avec une fracture supracondylienne de l'humérus?,La perte de sensation,L'ischémie complète,La douleur,La pâleur de l'avant-bras,c
OIC-162-36-B-,Quel type de fracture est une fracture du condyle latéral du coude chez l'enfant?,Fracture simple,Fracture complexe,Décollement épiphysaire de type III ou IV,Fracture de compression,c
OIC-162-37-B,Quels sont les deux types principaux de fracture de cheville chez l'enfant?,Décollements-épiphysaires type I ou II et décollements épiphysaires de type III ou IV,Fractures de cheville simples et fractures de cheville complexes,Fractures de cheville aiguës et fractures de cheville chroniques,Fractures de cheville traumatiques et fractures de cheville non traumatiques,a
OIC-162-37-B-,Quel est le risque principal après une fracture décollement épiphysaire de cheville chez l'adolescent?,Trouble de la vision,Trouble de croissance,Trouble de l'audition,Trouble de la parole,b
OIC-164-01-A,Quel type de dommage peut être indemnisé en cas de défaut d'information?,Atteinte à l'intégrité physique,Perte de chance de survie,Perte de chance d'avoir échappé à un risque,Perte de chance d'avoir accès à un traitement,c
OIC-164-01-A-,Quelle est l'une des infractions les plus courantes reprochées aux médecins?,Violation du secret professionnel,Non-assistance à personne en péril,Homicide involontaire,Euthanasie,c
OIC-164-02-A,Quelle est la responsabilité civile des praticiens hospitaliers?,Ils ne sont jamais responsables.,Ils engagent leur responsabilité civile personnelle.,Ils engagent leur responsabilité civile professionnelle.,Ils sont responsables uniquement pour les erreurs médicales.,c
OIC-164-02-A-,Quelle est la typologie des fautes qui engage la responsabilité du service public selon la jurisprudence administrative?,La faute de service et la faute dans l’organisation et le fonctionnement du service,La faute personnelle et la faute de service,La faute de service et la faute détachable du service,La faute dans l’organisation et le fonctionnement du service et la faute personnelle,a
OIC-164-03-A,Quelle est la sanction disciplinaire la plus sévère mentionnée dans le contenu éducatif?,L’avertissement,Le blâme,La radiation du tableau de l’Ordre,L’interdiction temporaire d’exercice,c
OIC-164-03-A-,Quel est un exemple de système d'indemnisation basé sur la responsabilité sans faute?,La responsabilité pour faute professionnelle,La responsabilité pour dommage intentionnel,La responsabilité pour infection nosocomiale,La responsabilité pour dommage prouvé par des témoins,c
OIC-164-04-A,Quelle est la forme de faute qui consiste en une violation des connaissances médicales avérées?,Faute technique,Violation d’un devoir d’humanisme,Délai de prescription,Délai de prescription,c
OIC-164-04-A-,Quelle est la différence entre une erreur par omission et une erreur par commission?,"Une erreur par omission est une action mal réalisée, une erreur par commission est une action nécessaire qui n'a pas été faite","Une erreur par omission est une action nécessaire qui n'a pas été faite, une erreur par commission est une action utile qui a été faite","Une erreur par omission est une action utile qui a été faite, une erreur par commission est une action nécessaire qui n'a pas été faite","Une erreur par omission est une action nécessaire qui n'a pas été faite, une erreur par commission est une action mal réalisée",b
OIC-164-05-A,Quelle est la différence entre l'affection iatrogène et l'erreur médicale?,"L'affection iatrogène est causée par une erreur du professionnel de santé, l'erreur médicale par un effet secondaire du médicament","L'affection iatrogène est une conséquence de la prise d'un médicament, l'erreur médicale est une faute du professionnel de santé","L'affection iatrogène est une maladie contractée dans un établissement de santé, l'erreur médicale est une erreur de diagnostic","L'affection iatrogène est une conséquence de la prise d'un médicament, l'erreur médicale est une conséquence de la prise d'un médicament",b
OIC-164-05-A-,Quel est le délai maximal pour qu'une infection soit considérée comme nosocomiale?,24 heures,36 heures,48 heures,72 heures,c
OIC-164-06-A,Quel est un exemple typique d'aléa thérapeutique?,La survenue d'un effet secondaire d'un médicament correctement prescrit et administré,Une erreur de prescription médicale,Une infection nosocomiale due à une faute de l'établissement de santé,Un accident médical causé par une action de soins non conforme,a
OIC-164-06-A-,Quel facteur peut être lié à l’environnement de travail dans un contexte médical?,La communication au sein de l’équipe,La disponibilité de ressources humaines qualifiées,La traçabilité de l’information dans le dossier du patient,La gestion des équipements,b
OIC-164-07-A,Quel est un facteur humain collectif qui peut accroître le risque d'erreurs?,La bonne mémorisation,Le manque de communication,La bonne compréhension linguistique,La bonne attitude du patient,b
OIC-164-07-A-,Quelle est la principale fonction des barrières de prévention dans le contexte de la sécurité des soins?,Empêcher la survenue de l'erreur et de l'accident,Récupérer l'erreur avant qu'elle n'ait des conséquences,Atténuer les conséquences d'une erreur déjà commise,Identifier les causes racines des erreurs,a
OIC-164-08-A,Quel type de système est utilisé pour repérer les événements indésirables graves dans les hôpitaux?,Système passif basé sur le volontariat,Système actif basé sur l’analyse de dossiers,Système actif basé sur la fouille informatique,Système passif basé sur la déclaration obligatoire,a
OIC-164-08-A-,Quel est un facteur de qualité de la prise en charge du patient dans le travail en équipe pluriprofessionnelle?,La barrière de sécurité contre les événements indésirables,Le facteur de santé et de bien-être au travail pour les professionnels,Le facteur de qualité de la prise en charge du patient,Le moyen de répondre de manière collaborative aux besoins du patient,c
OIC-164-09-A,Quelle méthode est utilisée pour assurer la sécurité des patients lors des activités interventionnelles?,Protocole pluriprofessionnel,Réunion de concertation pluridisciplinaire (RCP),Check-list au bloc opératoire,Réunion de morbi-mortalité (RMM),c
OIC-164-09-A-,Quel est l'objectif principal du parcours de soins?,Optimiser la satisfaction du patient,Assurer la continuité des soins,Réduire les coûts de santé,Augmenter le nombre de consultations,b
OIC-164-10-A,Quels sont les éléments contenus dans un protocole pluriprofessionnel?,Des aides à la prescription et des checklists,Des règles strictes pour les médecins,Un seul type de traitement,Des documents de loi,a
OIC-164-10-A-,Dans quel domaine les RCP sont-elles systématiquement organisées?,Cardiologie,Neurologie,Cancérologie,Pédiatrie,c
OIC-164-11-A,Quel est un des principaux moments clés où une check-list de sécurité du patient est utilisée?,Avant l'arrivée du patient,Lors de l'identification du patient,Après l'intervention chirurgicale,Durant la préparation du bloc opératoire,b
OIC-164-11-A-,Quel est le lien entre les réunions de morbi-mortalité (RMM) et le développement professionnel continu (DPC)?,Les RMM n'ont aucun lien avec le DPC,Les RMM sont une obligation pour le DPC,Les RMM sont une option pour le DPC,Les RMM sont une méthode alternative au DPC,b
OIC-176-01-A,Quel est le rôle principal d'un SMUR?,Assurer une écoute médicale permanente,Déclencher la réponse la plus adaptée à l'appel,Prise en charge sur place des détresses médicales,Participer à l'élaboration des plans de secours,c
OIC-176-01-A-,Quel est le principal mécanisme psycho-social qui facilite les discriminations?,Stéréotypes,Préjugés,Étiquetage des patients,Hiérarchisation des plaines,a
OIC-176-02-A,Comment les discriminations peuvent-elles influencer le stress des personnes qui les subissent?,En améliorant leur état de santé cardiovasculaire,En réduisant les symptômes dépressifs,En contribuant au stress et à des problèmes de santé cardiovasculaire,En n'ayant aucun impact sur le stress,c
OIC-176-02-A-,Quel facteur organisationnel peut expliquer le refus de soin inégalitaire?,L'hétérogénéité de pratiques,Le manque de coordination,Le recours insuffisant à l’interprétariat professionnel,Les inégalités territoriales de l’offre de soin,b
OIC-176-03-A,Quelle est la principale fonction de l'éthique appliquée en santé?,Elle vise à guider la prise de décision en analysant les conséquences des choix possibles.,Elle vise à établir des règles de bonnes pratiques professionnelles.,Elle vise à sanctionner les comportements inappropriés des professionnels de santé.,Elle vise à promouvoir des valeurs morales universelles.,a
OIC-176-03-A-,Quel est le slogan des États Généraux de la Bioéthique en 2018?,Quel monde voulons-nous pour demain?,Quel avenir pour la médecine?,Quel monde voulons-nous pour demain?,Quel avenir pour la bioéthique?,c
OIC-176-04-A,Qui est chargé de l'élaboration du code de déontologie médicale?,Le gouvernement,Le Conseil d'État,L'Ordre national des médecins,Le Premier ministre,c
OIC-176-04-A-,Quel principe éthique est issu de la philosophie moderne et vise à reconnaître la liberté individuelle du patient?,Bienfaisance,Non-malfaisance,Autonomie,Justice,c
OIC-176-05-A,Dans quel contexte la médecine peut-elle outrepasser la volonté exprimée par le patient?,En cas de refus de soins par un patient en situation d'urgence vitale,Lorsque le refus de soins expose l'autre ou pose question en termes de santé publique,Quand le patient est en perte d'autonomie psychique,Si le patient a formulé son refus par écrit,b
OIC-176-05-A-,Dans quel cas un patient peut-il exprimer sa volonté de ne pas être informé d'un diagnostic ou d'un pronostic graves?,Lorsqu'il est mineur,Lorsqu'il est incapable majeur,Lorsqu'il a clairement exprimé cette volonté dans son dossier médical,Lorsqu'il est hospitalisé en urgence,c
OIC-176-06-B,Quelle est la sanction pour un professionnel de santé qui refuse des soins à un patient en raison de son état de santé?,Aucune sanction,"Sanctions disciplinaires, pénales ou civiles",Réduction de salaire,Licenciement sans indemnité,b
OIC-176-06-B-,Quelle est la procédure de désignation d'une personne de confiance?,Désignation par écrit signée par le patient et la personne désignée,Désignation orale par le patient,Désignation par écrit signée uniquement par le patient,Désignation par écrit signée uniquement par la personne désignée,a
OIC-176-07-A,Quelle est l'une des principales critiques des éthiques du care concernant la vulnérabilité?,Elles considèrent la vulnérabilité comme un défaut d'autonomie.,Elles ne reconnaissent pas la vulnérabilité comme une condition normale du vivant.,Elles ne prennent pas en compte la vulnérabilité du soignant.,Elles ne considèrent pas la vulnérabilité comme une capacité relationnelle.,c
OIC-176-07-A-,Quel droit est renforcé par la loi de 2007 pour les personnes protégées?,Le droit à l'information,Le droit à la propriété,Le droit à la liberté de circulation,Le droit à la vie privée,a
OIC-176-08-B,Quelle est la mesure de protection qui permet de traiter une situation en urgence?,La tutelle,La curatelle,La sauvegarde de justice,La protection des mineurs,c
OIC-176-08-B-,Quel document doit accompagner toute demande d'ouverture d'une mesure de protection?,Un certificat médical circonstancié,Un formulaire de demande,Un avis du médecin traitant,Un jugement de mainlevée,a
OIC-176-09-A,Quel est le statut juridique de l'embryon vivant selon le Comité Consultatif National d'Éthique?,Personne humaine,Personne humaine potentielle,Personne humaine non potentielle,Personne humaine non existante,b
OIC-176-09-A-,Quel est le délai de réflexion minimum accordé à la femme avant de décider d'interrompre ou de poursuivre sa grossesse lors d'une IMG pour motif médical?,24 heures,48 heures,7 jours,14 jours,c
OIC-176-10-B,Quel est l'un des principaux enjeux éthiques des diagnostics prénatals mentionnés dans le texte?,La stigmatisation des personnes atteintes de maladies génétiques,La reconnaissance des maladies comme incurables au moment du diagnostic,L'acceptation du handicap dans notre société,La limitation des interruptions de grossesse pour motif médical,c
OIC-176-10-B-,Quelle est la principale raison pour laquelle le typage HLA d'embryons est autorisé en France?,Pour permettre la sélection du sexe de l'enfant,Pour éviter la transmission d'une maladie génétique,Pour éviter l'instrumentalisation de la procréation,Pour réduire le coût de la procréation,c
OIC-176-11-A,Quel type de soin est proposé lorsque la demande de mort est exprimée et durable?,Soulagement des douleurs,Assistance au suicide,Euthanasie,Soins palliatifs,c
OIC-176-11-A-,Quelle est la procédure obligatoire pour arrêter un traitement vital chez un patient incapable d'exprimer sa volonté?,Consultation des directives anticipées,Réunion collégiale avec les professionnels de santé,Demande écrite de la famille,Consultation d'un deuxième avis médical,b
OIC-176-12-A,Dans quelles situations la loi impose-t-elle le recours à la procédure collégiale?,Lorsque le patient est en état de conscience,Lorsque le patient est en fin de vie et ne peut s’exprimer,Lorsque le patient est en phase de rémission,Lorsque le patient est en phase de convalescence,b
OIC-176-12-A-,"Quel est le premier moyen de tracer la volonté d'un patient en cas de fin de vie, selon la loi de 2016?",Le témoignage de la famille,Les directives anticipées,Le témoignage de la personne de confiance,Le consentement verbal du patient,b
OIC-176-13-A,Quel texte normatif a été édicté après la Seconde Guerre mondiale pour établir une déontologie internationale sur l'expérimentation sur l'être humain?,Code de Nuremberg,Déclaration d'Helsinki,Déclaration de Manille,Directive européenne du 4 avril 2001,a
OIC-176-13-A-,Quel est le rôle principal des Comités de protection des personnes (CPP) dans les recherches impliquant la personne humaine?,Évaluer les protocoles de recherche,Recueillir le consentement éclairé,Donner un avis décisionnel sur les recherches,Surveiller les essais cliniques,c
OIC-176-14-A,Qui est responsable de la gestion de la liste d'attente et de l'attribution des greffons en France?,Le médecin traitant,L'Agence de la Biomédecine,Le ministère de la Santé,Le registre national des refus,b
OIC-176-14-A-,Quelle est la classification de Maastricht pour les personnes décédées en mort encéphalique qui font un arrêt circulatoire irréversible au cours de la prise en charge en réanimation?,Catégorie I,Catégorie II,Catégorie IV,Catégorie III,c
