Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
1037,OIC-136-07-A-,Quelle est une cause fréquente de lombalgie?,Arthrose,Infection,Compression médullaire,Spondyloarthrite,a,4
1038,OIC-136-08-B-,Quelle est la caractéristique principale de la douleur associée à une colique néphrétique?,Douleur diffuse et constante,Douleur lombaire unilatérale de début brutal avec irradiation oblique,Douleur lombaire bilatérale et progressive,Douleur thoracique irradiant vers le bas du dos,b,4
1039,OIC-136-09-B,"Selon le texte, quel examen d'imagerie est recommandé en cas de signe de gravité lors d'une douleur lombaire aiguë?",Radiographies standards,Scanner thoraco-abdomino-pelvien,IRM,Échographie abdominale et pelvienne,c,4
1040,OIC-136-09-B-,Quel est le principal critère pour déterminer si un bilan biologique est nécessaire en cas de lombalgie aiguë?,La présence de douleur irradiant dans les jambes.,La suspicion d'une cause secondaire ou d'une douleur projetée viscérale.,L'âge du patient.,La présence de fièvre.,b,4
1041,OIC-136-10-B,Quels facteurs peuvent influencer le passage d'une lombalgie aiguë à une lombalgie chronique?,Seuls les facteurs biologiques sont importants.,Le contexte biopsychosocial et les facteurs professionnels.,Le type d'activité physique pratiquée.,L'âge de la personne.,b,4
1042,OIC-136-12-B-,Quel est l'objectif principal de l'interrogatoire dans le diagnostic de la constipation?,Confirmer le diagnostic de diarrhée.,Rechercher des symptômes en faveur d'une cause secondaire.,"Confirmer le diagnostic de constipation et son caractère chronique, et rechercher des facteurs favorisants.",Appréhender le mécanisme de la constipation : de transit ou distale (dyschésie).,c,4
1043,OIC-142-01-B-,"Selon le texte, quel est l'apport en fibres recommandé pour traiter la constipation chez l'adulte?",10-15 g/jour,20-25 g/jour,30-35 g/jour,40-45 g/jour,b,4
1044,OIC-142-02-B-,Quel est l'un des traitements médicamenteux utilisés pour traiter la constipation chronique chez l'enfant plus grand?,Lavements,Osmotiques,PEG,Laxatifs,c,4
1045,OIC-145-01-A,Quel est le principal critère de définition du syndrome de l'intestin irritable (SII)?,La présence de douleurs abdominales,La présence de troubles du transit,L'absence de maladie organique digestive,La présence de symptômes spécifiques,c,4
1046,OIC-145-01-A-,"Selon le contenu, quel est le critère diagnostique principal du syndrome de l'intestin irritable?",Douleur abdominale persistante,Douleur abdominale en relation avec la défécation,Modification de la fréquence des selles,Modification de l'aspect des selles,b,4
1047,OIC-145-02-B-,Quelle est la caractéristique la plus distinctive de la douleur abdominale chez les patients atteints de colopathie fonctionnelle?,Douleur constante et intense,Douleur nocturne et constante,"Douleur intermittente, spasmodique et liée au transit",Douleur uniquement en fosse iliaque droite,c,4
1048,OIC-145-03-B,Quels sont les éléments cliniques qui doivent amener à la réalisation d'une coloscopie pour éliminer une organicité?,Survenue des symptômes après l'âge de 50 ans; symptômes nocturnes; amaigrissement; apparition récente ou une modification des symptômes.,Survenue des symptômes après l'âge de 50 ans; sang dans les selles (rectorragies ou méléna); symptômes nocturnes; amaigrissement; apparition récente ou une modification des symptômes; terrain à risque de néoplasie colique (ATCD familial de cancer colorectal).,Survenue des symptômes après l'âge de 50 ans; sang dans les selles (rectorragies ou méléna); symptômes nocturnes; amaigrissement; terrain à risque de néoplasie colique (ATCD familial de cancer colorectal).,Survenue des symptômes après l'âge de 50 ans; sang dans les selles (rectorragies ou méléna); symptômes nocturnes; amaigrissement; apparition récente ou une modification des symptômes; résistance au traitement médical proposé.,b,4
1049,OIC-145-04-B,Quel est l'objectif principal d'un bilan biologique chez un patient présentant un syndrome de l'intestin irritable (SII)?,Déterminer la cause exacte de la douleur abdominale.,Éliminer une pathologie organique.,Diagnostiquer une infection intestinale.,Mesurer le niveau de stress du patient.,b,4
1050,OIC-145-04-B-,Quel est l'objectif principal de la prise en charge thérapeutique de la colopathie fonctionnelle?,Guérir complètement la maladie.,Éviter le nomadisme médical et améliorer la qualité de vie.,Prescrire des médicaments coûteux.,Ignorer les symptômes du patient.,b,4
1051,OIC-145-05-B,Qu'est-ce qui constitue les hémorroïdes?,Des structures inflammatoires,Des structures vasculaires anatomiques normales,Des structures musculaires,Des structures nerveuses,b,4
1052,OIC-145-06-B,Quelle est la principale cause de la théorie mécanique de la pathologie hémorroïdaire?,L'augmentation de la taille des hémorroïdes pendant la grossesse.,Le long temps passé à la selle et les efforts de poussée.,L'insuffisance veineuse.,La modification de la consistance des selles.,b,4
1053,OIC-145-06-B-,Qu'est-ce qui est visible lors d'un examen endocanalaire avec un anuscope?,Le plexus externe,Le plexus interne,Le revêtement épithélial,Le toucher anal,b,4
1054,OIC-145-07-B,Quelle est une caractéristique typique d'une thrombose hémorroïdaire externe?,Elle est généralement indolore.,Elle est souvent associée à une réaction œdémateuse et sensible.,Elle est localisée à l'anus.,Elle nécessite systématiquement une anoscopie.,b,4
1055,OIC-145-07-B-,Quelle est la principale différence entre une crise hémorroïdaire et une manifestation chronique des hémorroïdes?,La crise hémorroïdaire est plus grave que la manifestation chronique.,"La crise hémorroïdaire est une inflammation aiguë, tandis que la manifestation chronique est une inflammation chronique.","La crise hémorroïdaire est une inflammation aiguë qui survient rapidement et dure quelques jours, tandis que la manifestation chronique est une inflammation chronique qui s'installe progressivement et peut avoir une évolution périodique.",La manifestation chronique est toujours plus grave que la crise hémorroïdaire.,c,4
1056,OIC-145-08-A,"Selon le texte, quelle est la principale difficulté diagnostique en matière d'hémorroïdes internes?",Identifier les hémorroïdes internes.,Déterminer la cause de la douleur anale.,Différencier les hémorroïdes internes des autres affections proctologiques.,Évaluer la gravité de la thrombose hémorroïdaire externe.,c,4
1057,OIC-145-08-A-,Quel est un diagnostic différentiel de la thrombose hémorroïdaire externe?,Hémorroïdes internes,Hémorroïdes internes,Hémorroïdes internes,Hémorroïdes internes,a,1
1058,OIC-145-10-A,Qu'est-ce qui est visible sur l'image de thrombose hémorroïdaire externe?,Une thrombose interne,Une thrombose externe,Une hémorragie,Une inflammation,b,4
1059,OIC-145-11-B,Quel est un élément majeur de la prise en charge thérapeutique de la maladie hémorroïdaire?,Les médicaments,Les règles hygiéno-diététiques,Les principes des traitements instrumentaux et chirurgicaux,Les traitements instrumentaux et chirurgicaux,b,4
1060,OIC-145-11-B-,Quelle est la première règle du préambule thérapeutique pour les hémorroïdes?,Le traitement des hémorroïdes doit être réservé aux formes symptomatiques.,"Le traitement des hémorroïdes est, dans la majorité des cas, un traitement de fond.",Les traitements médicamenteux sont habituellement réservés aux symptômes aigus.,Les procédés instrumentaux et chirurgicaux constituent le traitement de fond.,a,4
1061,OIC-145-13-A,Quel est le résultat typique de la résorption d'une thrombose hémorroïdaire externe?,Une augmentation de la taille de la thrombose.,Une cicatrice en relief appelée marisque.,Une infection suppurative.,Une hémorragie massive.,b,4
1062,OIC-145-13-A-,Quelle est la principale différence entre une tumeur primitive et une tumeur secondaire (métastase)?,Elles ont la même origine cellulaire.,"Une tumeur primitive est issue d'un tissu intracrânien, tandis qu'une tumeur secondaire est issue de la dissémination d'une tumeur d'un autre organe.",Elles ont le même pronostic.,Elles sont toujours bénignes.,b,4
1063,OIC-145-14-B,Qu'est-ce qu'une tumeur primitive de l'encéphale?,Développée à l'extérieur de l'encéphale,Développée à l'intérieur de l'encéphale,Développée à partir des méninges,Développée à partir des nerfs crâniens,b,4
1064,OIC-145-14-B-,Quel est le principal type de tumeur cérébrale associé à la prise de progestatifs?,Adénome hypophysaire,Méningiome,Glioblastome,Métastase,b,4
1065,OIC-153-01-A-,Quel symptôme est le plus souvent associé à l'hypertension intracrânienne (HTIC)?,Céphalées localisées,Douleurs musculaires,Nausées et vomissements en jets,Vertiges,c,4
1066,OIC-153-02-A-,Quel est le premier élément à rechercher lors d'une métastase cérébrale?,Un examen cutané,Un scanner thoraco-abdomino-pelvien,Une mammographie,Une auscultation pulmonaire,b,4
1067,OIC-153-03-A-,Quel est le traitement initial privilégié pour l'œdème vasogénique péri-tumoral dans l'HTIC?,Chirurgie de résection,Diurétiques (mannitol),Corticothérapie (corticoïdes),Ventriculocisternostomie endoscopique,c,4
1068,OIC-153-04-A,Quelle est la principale caractéristique du mélanome?,Origine kératinocytaire,Origine mélanocytaire,Origine basocellulaire,Origine épidermoïde,b,4
1069,OIC-153-04-A-,"Quelles sont les deux principales variétés de verrues plantaires, selon leur étiologie?",HPV1 et HPV2,HPV3 et HPV4,HPV1 et HPV3,HPV2 et HPV4,a,4
1070,OIC-153-05-A,Quel est le type de cancer cutané le plus fréquent en France?,Carcinome épidermoïde,Carcinome basocellulaire,Mélanome,Sarcome de Kaposi,b,4
1071,OIC-153-06-B,Quel est l'aspect typique d'un carcinome basocellulaire (CBC)?,Lésion rouge et enflammée avec des croûtes,Papules perlées translucides de consistance ferme associées à des télangiectasies,"Tumeur irrégulière, recouverte de croûtes, à bords inflammatoires, à base indurée, devenant ulcéro-végétante","Lésion unique, fixe, en zone photo-exposée érythémateuse ou rosée +/- pigmentée bien limitée, squamo-croûteuse",b,4
1072,OIC-153-06-B-,Quel est le pronostic des carcinomes basocellulaires (CBC)?,Mauvais,Excellent,Intermédiaire,Variable,b,4
1073,OIC-156-01-A,Quelle est la principale composante de la prévention primaire des carcinomes épidermoïdes et basocellulaires?,Chirurgie précoce,Traitement des lésions précancéreuses,Radiothérapie,Immunothérapie,b,4
1074,OIC-156-02-B,Quel est le diagnostic différentiel le plus important à considérer lors de l'examen d'un nævus?,Carcinome basocellulaire,Kératose séborrhéique,Mélanome,Histiocytofibrome,c,4
1075,OIC-156-02-B-,"Selon le texte, quel est le principal facteur de risque pour la transformation d'un naevus commun en mélanome?",L'âge,Les microtraumatismes répétés,La taille du naevus,La présence de lésions satellites,b,4
1076,OIC-156-03-B,"Selon la règle ABCDE, quel critère est associé à un risque accru de mélanome?",L'asymétrie,La symétrie,La couleur uniforme,La taille de la lésion,a,4
1077,OIC-156-03-B-,Quel est le principal facteur de mauvais pronostic au stade IV du mélanome?,Un faible taux de LDH,Une masse tumorale faible,Des métastases cérébrales symptomatiques et/ou plus de 3 métastases cérébrales,Un indice de Breslow faible,c,4
1078,OIC-156-04-B,Quelle est la principale stratégie de prévention primaire contre le mélanome?,L'utilisation de crème solaire à large spectre.,La réduction de l'exposition aux UV.,La chirurgie préventive.,L'utilisation de chapeaux.,b,4
1079,OIC-156-04-B-,Qu'est-ce que la figure C.jpg illustre?,Une tumeur mélanique,Une lésion précancéreuse cutanée,Une tumeur épidermoïde,Une lésion bénigne,b,4
1080,OIC-156-05-A-,Qu'est-ce qu'un carcinome épidermoïde?,Une tumeur bénigne,Une tumeur maligne,Une tumeur non cancéreuse,Une tumeur inflammatoire,b,4
1081,OIC-156-06-B,Qu'est-ce qui est décrit dans la photographie du mélanome?,Une lésion cutanée bénigne,Une lésion cutanée non pigmentée,"Une lésion pigmentée asymétrique, aux bords irréguliers, de couleur hétérogène, de 18mm de diamètre et s’étant récemment modifiée.",Une lésion cutanée avec des bords bien définis,c,4
1082,OIC-156-06-B-,Quelle est la pathologie tumorale la plus fréquente chez l'homme de plus de 50 ans?,Hyperplasie bénigne de la prostate,Adénocarcinome,Carcinome neuroendocrine,Lymphome,b,4
1083,OIC-156-07-A,Quel est l'âge médian au diagnostic du cancer de la prostate?,45 ans,68 ans,75 ans,80 ans,b,4
1084,OIC-156-08-B,Quel est le principal site de métastase non ganglionnaire du cancer de la prostate?,Le poumon,Le foie,L'os,Le cerveau,c,4
1085,OIC-156-08-B-,Quel est le plus souvent le signe initial du cancer de la prostate?,Hémospermie,Douleurs osseuses,Asymptomatique,Troubles sexuels,c,4
1086,OIC-156-09-A,Quel est le principal inconvénient de l'utilisation du PSA comme marqueur de cancer de la prostate?,Il est très spécifique au cancer de la prostate.,Il est toujours élevé chez les patients atteints de cancer de la prostate.,Il peut être augmenté par des pathologies bénignes ou des manipulations de la prostate.,Il est toujours normal chez les patients atteints de cancer de la prostate.,c,4
1087,OIC-156-09-A-,Quelle est la principale indication de la prostatectomie totale selon la classification de D'Amico?,Les patients fragiles avec une espérance de vie limitée.,Les patients présentant un cancer de la prostate localisé à haut risque.,Les patients présentant un cancer de la prostate localisé à risque intermédiaire.,Les patients présentant un cancer de la prostate localisé à faible risque.,b,4
1088,OIC-156-10-A,Quel est le cancer le plus fréquent chez la femme en France?,Cancer du poumon,Cancer du sein,Cancer de la prostate,Cancer colorectal,b,4
1089,OIC-156-10-A-,Quel facteur de risque est mentionné dans le texte?,IMC faible,Activité physique intense,Indice de masse corporelle élevé,Alimentation riche en fruits,c,4
1090,OIC-156-11-B,"Quels sont les deux principaux gènes impliqués dans les cancers du sein familiaux, selon le texte?",BRCA1 et TP53,BRCA2 et PALB2,BRCA1 et BRCA2,TP53 et PALB2,c,4
1091,OIC-156-11-B-,"Selon le texte, quel est le premier type de cancer du sein?",Invasif,In situ,Lymphatique,Hématogène,b,4
1092,OIC-156-12-B-,Quels sont les signes cliniques mammaires mentionnés dans le texte?,Douleur mammaire et inflammation,"Nodule, écoulement, inflammation, lésions cutanées",Asthénie et amaigrissement,Érythème localisé et chaleur locale,b,4
1093,OIC-156-13-A,Quelles sont les caractéristiques mentionnées dans le contenu éducatif concernant les lésions/anomalies cutanées du sein?,Écoulements sanguinolents et lactescents,Aspect de peau d’orange et rétraction mammaire,Présence de nodules palpables,Hypertrophie mammaire,b,4
1094,OIC-156-14-A,"Selon le texte, quelles sont les lésions qui nécessitent une biopsie mammaire?",Les lésions Bi-rads 1 et 2.,"Les lésions Bi-rads 4 et 5, et les lésions Bi-rads 3 chez les patientes BRCA.",Les lésions Bi-rads 3 uniquement.,Les lésions Bi-rads 5 uniquement.,b,4
1095,OIC-156-14-A-,Quelle est la caractéristique principale des tumeurs bénignes du sein?,Croissance rapide et métastases,"Contours bien délimités, croissance lente et évolution locale limitée",Présence d'adénopathies axillaires suspectes,Taille supérieure à 30 mm,b,4
1096,OIC-156-15-B-,"Dans les stades localisés du cancer du sein, quel est le traitement principal?",Chimiothérapie seule,Chirurgie mammaire et chirurgie des ganglions axillaires homolatéraux,Radiothérapie seule,Hormonothérapie seule,b,4
1097,OIC-156-16-B,Qu'est-ce qui définit une leucémie aiguë (LA) selon le texte?,Une prolifération de cellules souches matures.,Une prolifération de cellules souches hématopoïétiques immatures (blastes) représentant plus de 20% des cellules sur un myélogramme.,Une infection virale de la moelle osseuse.,Une inflammation chronique de la moelle osseuse.,b,4
1098,OIC-156-17-A-,Quel est le premier signe clinique mentionné dans le texte concernant l'insuffisance médullaire?,Syndrome hémorragique,Syndrome anémique,Syndrome infectieux,Syndrome de choc,b,4
1099,OIC-156-18-B-,Qu'est-ce qui est presque constant dans l'hémogramme d'une leucémie aiguë?,Hémoglobine élevée,Anémie arégénérative,Pléiocytose,Hémoglobine basse,b,4
1100,OIC-156-19-B-,Quelle est la prévalence approximative des leucémies aiguës (LA) chez les enfants?,5-10%,30-35%,60-70%,80-90%,b,4
1101,OIC-157-01-A,Quel est le principal signe clinique qui doit faire évoquer une leucémie aiguë chez l'enfant?,Douleurs articulaires,Anémie,"AEG (fièvre, anorexie, asthénie)",Hépatomégalie,c,4
1102,OIC-157-02-B,Qu'est-ce qu'un effet indésirable médicamenteux (EIM)?,Une réaction bénéfique du corps au médicament.,Une réaction nocive et non voulue suspectée d'être due à un médicament.,Une réaction souhaitée du corps au médicament.,Une réaction due à l'interaction entre deux médicaments.,b,4
1103,OIC-157-02-B-,Quels sont les deux ordres d'enjeux concernant les risques liés aux médicaments?,Enjeux individuels et enjeux de santé publique,Enjeux de santé publique et enjeux réglementaires,Enjeux individuels et enjeux réglementaires,Enjeux individuels et enjeux de santé publique,a,4
1104,OIC-157-03-A,Qu'est-ce qu'une prescription médicamenteuse inappropriée (PMI)?,Une prescription qui est toujours bénéfique pour le patient.,Une prescription qui engendre plus de risques que de bénéfices pour le patient.,Une prescription qui est toujours conforme aux AMM.,Une prescription qui est toujours prise en compte des interactions médicamenteuses.,b,4
1105,OIC-157-03-A-,Quelle est la première des 5 B de la règle des 5 B?,Bon Patient,Bon Médicament,Bonne Dose,Bonne Voie,a,4
1106,OIC-157-04-A,Quel est le mécanisme principal de l'effet extrapyramidal des neuroleptiques?,Action directe des neuroleptiques sur les récepteurs muscariniques,Blocage dopaminergique,Augmentation de la production d'acétylcholine,Activation des récepteurs GABA,b,4
1107,OIC-157-04-A-,"Selon l'étude ENEIS, quel pourcentage des admissions en médecine ou en chirurgie était dû à un événement indésirable grave?",10%,3 à 5%,50%,7%,b,4
1108,OIC-157-05-B,Quelles sont les caractéristiques principales des EIM (Effets Indésirables Médicaux) chez les personnes âgées?,Fréquence et gravité diminuées.,Symptomatologie uniforme et tableaux cliniques classiques.,"Fréquence et gravité accrues, symptomatologie variée et tableaux cliniques atypiques.",Principalement causés par les antibiotiques.,c,4
1109,OIC-157-05-B-,Quel est l'objectif principal de la pharmacovigilance?,Identifier les médicaments dangereux.,Améliorer le rapport bénéfice/risque des médicaments.,Réduire le nombre de médicaments disponibles.,Supprimer tous les effets indésirables des médicaments.,b,4
1110,OIC-157-06-B,Qu'est-ce que l'imputabilité?,Une mesure directe de la causalité.,Une estimation du lien de causalité entre le médicament et l'effet observé.,Une liste exhaustive des effets indésirables.,Un processus de diagnostic différentiel.,b,4
1111,OIC-157-06-B-,Qui est tenu de déclarer un effet indésirable suspecté d'être dû à un médicament?,Les patients,Les entreprises pharmaceutiques,Les professionnels de santé,Les associations de patients,c,4
1112,OIC-157-07-A,Quel est l'objectif principal de l'addictovigilance?,La prévention de l'abus de substances psychoactives.,"La surveillance, l'évaluation, la prévention et la gestion du risque d'abus, d'usage détourné et de pharmacodépendance lié à la consommation de toute substance psychoactive, médicamenteuse ou non, plante ou produit, à l'exclusion de l'alcool et du tabac.",La promotion de l'usage de substances psychoactives.,La recherche sur les effets secondaires des médicaments.,b,4
1113,OIC-157-07-A-,"Qui est tenu de déclarer un abus, une dépendance et des usages détournés liés à la consommation de substances psychoactives?",Seul le médecin.,Seul le pharmacien.,"Le médecin, le chirurgien-dentiste et le pharmacien.",Tout le monde.,c,4
1114,OIC-157-08-A,Quel est l'objectif principal de la matériovigilance?,Identifier les fabricants de dispositifs médicaux.,Éviter l'utilisation des dispositifs médicaux.,Assurer la sécurité des patients et des utilisateurs.,Réduire les coûts des dispositifs médicaux.,c,4
1115,OIC-157-09-A,,,,,,,1
1116,OIC-157-10-B,Quel est le principal objectif de l'information au patient concernant les médicaments?,Assurer que le patient comprend parfaitement tous les détails de son traitement.,Éviter les erreurs d'administration en adaptant l'information à la situation du patient.,Fournir des informations complètes sur tous les médicaments disponibles.,Rendre le patient autonome dans la gestion de son traitement.,b,4
1117,OIC-157-10-B-,"Selon le texte, quel est le principal élément de la contrefaçon d'un médicament?",La qualité du produit,La fausse représentation délibérée et frauduleuse de son identité et/ou de sa source,Le prix du médicament,La date de péremption du médicament,b,4
1118,OIC-157-11-A,Quels sont les risques liés à la quantité excessive de principe actif dans un médicament contrefait?,Risque de guérison plus rapide de la maladie.,Risque de surdosage et d'effets indésirables.,Risque de diminution de la résistance à la maladie.,Risque de réduction des coûts de traitement.,b,4
1119,OIC-157-11-A-,Quelle est la principale fonction de l'ONIAM?,Gérer les dossiers médicaux des patients.,Indemniser les victimes d'accidents médicaux.,Fournir des soins de santé gratuits.,Réglementer les pratiques médicales.,b,4
1120,OIC-157-12-A,Quel est l'objectif principal de la responsabilité sans faute?,Démontrer la faute de l'auteur du dommage.,Indemniser la victime sans démontrer la faute.,Passer par une procédure en justice.,Organiser le dispositif d'indemnisation amiable.,b,4
1121,OIC-157-13-A,Quelles sont les conditions pour qu'un médicament générique soit autorisé sur le marché?,"Il doit être identique au médicament princeps en termes de composition qualitative et quantitative, de forme pharmaceutique et de démonstration de bioéquivalence.","Il doit être identique au médicament princeps en termes de composition qualitative et quantitative, de forme pharmaceutique et de démonstration de bioéquivalence.","Il doit être identique au médicament princeps en termes de composition qualitative et quantitative, de forme pharmaceutique et de démonstration de bioéquivalence.","Il doit être identique au médicament princeps en termes de composition qualitative et quantitative, de forme pharmaceutique et de démonstration de bioéquivalence.",a,1
1122,OIC-157-13-A-,Qu'est-ce que le SMR (Service Médical Rendu)?,Une évaluation de l'efficacité d'un médicament.,Une évaluation de l'intérêt clinique d'un médicament pour la prise en charge par la solidarité nationale.,Une évaluation de l'impact sur le prix du médicament.,Une évaluation de l'amélioration du service médical rendu.,b,4
1123,OIC-157-14-A,"Selon le texte, quel est le rôle principal du pharmacien lors de la dispensation d'un médicament?",Fournir des informations sur les effets secondaires des médicaments.,Substituer un médicament par un médicament générique sans l'accord du prescripteur.,Vérifier la prescription et l'intérêt de la santé du patient avant de dispenser le médicament.,Administrer les médicaments directement aux patients.,c,4
1124,OIC-157-14-A-,"Selon le texte, quel est le critère principal pour obtenir une AMM?",Le nombre de patients inclus dans les essais cliniques.,Le rapport bénéfice / risque.,Le prix du médicament.,L'avis du comité économique des produits de santé.,b,4
1125,OIC-157-15-B,Quel est l'objectif principal du développement professionnel continu (DPC) selon le Code de déontologie médicale?,Maintenir les connaissances et compétences actuelles.,Améliorer les pratiques cliniques.,"Mettre à jour les connaissances et compétences, et améliorer les pratiques.",Se former à de nouvelles spécialités.,c,4
1126,OIC-157-15-B-,Quel est l'élément principal à considérer lors de la prescription d'un médicament?,Le prix du médicament,La situation individuelle du patient,L'avis du pharmacien,La marque du médicament,b,4
1127,OIC-157-16-B,Qu'est-ce qui est nécessaire pour indiquer une thérapeutique non-médicamenteuse?,Une prescription immédiate,Un bilan initial,Une évaluation de l'environnement,Une consultation avec un médecin,b,4
1128,OIC-157-16-B-,"Selon la définition donnée, quel est le principal critère pour qu'un produit soit considéré comme un dispositif médical?",Son utilisation pour le diagnostic.,Son action principale n'est pas obtenue par des moyens pharmacologiques.,Son origine humaine.,Son prix.,b,4
1129,OIC-157-17-B,"Selon le texte, quel est le principal responsable de la prescription initiale de podo-orthèses?",Médecin généraliste,Kinésithérapeute,Médecin spécialiste,IDE,c,4
1130,OIC-157-17-B-,Quelle est la principale différence entre le petit appareillage et le grand appareillage?,Le petit appareillage est toujours sur ordonnance simple.,Le grand appareillage est toujours sur ordonnance complexe.,Le grand appareillage est sur mesure et nécessite une prescription initiale par un spécialiste.,Le petit appareillage est toujours fabriqué en pharmacie.,c,4
1131,OIC-157-18-B,Qu'est-ce qu'une orthèse?,Un médicament pour soulager la douleur.,Un dispositif qui supplée un membre ou un segment de membre déficient ou le rachis.,Un appareil pour immobiliser une fracture.,Un dispositif pour corriger une posture.,b,4
1132,OIC-157-18-B-,Quelle est la principale fonction d'une orthèse d'immobilisation?,Améliorer la fonction,Stabiliser une articulation,Décharger le membre inférieur,Corriger une déformation,b,4
1133,OIC-161-01-A-,Qu'est-ce qu'une prothèse?,Un médicament,Un dispositif qui remplace un membre ou un segment de membre manquant,Un appareil de rééducation,Un élément constitutif d'une prothèse,b,4
1134,OIC-161-02-A,Quel est le principal objectif du chaussage orthopédique?,Améliorer l'esthétique du pied.,Corriger les anomalies du pied et améliorer la fonction.,Fournir un soutien supplémentaire aux orteils.,Prévenir les infections des pieds.,b,4
1135,OIC-161-02-A-,Qu'est-ce qu'une aide technique?,Un médicament pour améliorer l'autonomie.,"Un dispositif non appliqué sur le corps qui diminue les limitations d'activité et contribue à l'amélioration de l'autonomie, de la sécurité et du bien-être des personnes handicapées.",Un appareil auditif pour améliorer l'audition.,Un respirateur pour améliorer la respiration.,b,4
1136,OIC-161-03-A,"Selon le contenu, quel est le principal critère pour l'achat d'un fauteuil roulant électrique?",Une ordonnance simple,Un essai de validation de l'adéquation et de la non-dangerosité,Une demande d'entente préalable auprès de l'assurance maladie,Un certificat d'essai,b,3
1137,OIC-161-03-A-,Quelle est la définition d'une cure thermale selon le texte?,"Un ensemble de thérapeutiques appliquées à un patient pendant son séjour dans une station thermale, mais aussi repos, dépaysement, climat et éventuellement soins non thermaux.",Un traitement médical spécifique pour une maladie particulière.,Une combinaison de soins médicaux et de soins de bien-être.,Un séjour dans une station thermale pour des raisons de loisirs.,a,4
1138,OIC-161-04-B,Quel est le principal mécanisme d'action des anti-inflammatoires non stéroïdiens (AINS)?,Inhibition de l'enzyme de conversion de l'angiotensine (IEC),Inhibition de la cyclooxygénase (COX),Augmentation de la production de prostaglandines,Blocage des récepteurs de l'angiotensine II,b,4
1139,OIC-161-04-B-,Quel est le principal mécanisme d'action des diurétiques de l'anse?,Inhibition du transporteur NCC au niveau du tube contourné distal.,Inhibition du co-transporteur NKCC2 au niveau de la branche ascendante large de Henlé.,Antagonisme des récepteurs de l’aldostérone.,Inhibition du canal sodium épithélial.,b,4
1140,OIC-161-05-A,Quel est le mécanisme d'action principal des bêta-bloquants?,Ils augmentent la contractilité cardiaque.,Ils bloquent les récepteurs β-adrénergiques.,Ils stimulent la libération d'adrénaline.,Ils inhibent l'action de l'acétylcholine.,b,4
1141,OIC-161-05-A-,Quel est le principal mécanisme d'action des inhibiteurs de l'enzyme de conversion de l'angiotensine (IEC)?,Ils bloquent les récepteurs de l'angiotensine II.,Ils inhibent la conversion de l'angiotensine I en angiotensine II.,Ils augmentent la production d'aldostérone.,Ils diminuent la pression artérielle en dilatant les vaisseaux sanguins.,b,4
1142,OIC-161-06-A-,Quel est le mécanisme d'action principal de l'acide acétylsalicylique (AAS)?,Inhibition de la voie de l’ADP.,Inhibition de la synthèse du thromboxane A2.,Activation plaquettaire par l’inhibition de la synthèse du thromboxane A2.,Inhibition de la voie d’activation plaquettaire dépendant de l’ADP.,b,4
1143,OIC-161-07-A,Quel est le mécanisme d'action principal de l'héparine non fractionnée (HNF)?,Inhibition directe de la thrombine.,Renforcement de l'activité de l'antithrombine III (ATIII).,Inhibition directe de l'activité de la thrombine.,Activation de la cascade de coagulation.,b,4
1144,OIC-161-07-A-,Quel est le principal mécanisme d'action des anticoagulants oraux directs (AOD)?,Inhibition de la carboxylation des facteurs vitamine K dépendants,Inhibition du facteur Xa,Inhibition de la thrombine,Inhibition de la protrombine II,b,4
1145,OIC-161-08-A,Quel est le mécanisme d'action principal des benzodiazépines?,Inhibition de la recapture de la sérotonine,Agonisme des récepteurs GABA,Inhibition de l'enzyme de conversion de la TSH,Blocage des canaux calciques,b,4
1146,OIC-161-08-A-,Quel est le mécanisme d'action principal des inhibiteurs spécifiques de recapture de la sérotonine (ISRS)?,Augmentation de la libération de dopamine,Inhibition de la recapture de la sérotonine,Blocage des récepteurs de la sérotonine,Augmentation de la libération de noradrénaline,b,4
1147,OIC-161-09-A,Quel est le principal mécanisme d'action des antipsychotiques?,Inhibition de la recapture de la sérotonine,Blocage des récepteurs dopaminergiques,Inhibition de la recapture de la dopamine,Blocage des récepteurs sérotoninergiques,b,4
1148,OIC-161-10-A,Quel est le mécanisme d'action principal des statines pour réduire le cholestérol LDL?,Elles augmentent l'absorption du cholestérol dans l'intestin.,Elles inhibent la synthèse hépatique du cholestérol et augmentent le renouvellement des LDL récepteurs hépatiques.,Elles augmentent la production de bile dans le foie.,Elles réduisent la production d'acide gastrique.,b,4
1149,OIC-161-10-A-,Quel est le principal mécanisme d'action des insulines et analogues d'insuline?,Augmenter la glycémie en diminuant la captation périphérique du glucose.,Diminuer la glycémie en augmentant la captation périphérique du glucose et en diminuant sa libération hépatique.,Augmenter la glycémie en augmentant la libération hépatique du glucose.,Diminuer la glycémie en diminuant la captation périphérique du glucose.,b,4
1150,OIC-161-11-A,Quel est le mécanisme d'action principal de la metformine?,Stimulation de la libération d'insuline par le pancréas,"Inhibition de la néoglucogénèse et la glycogénolyse hépatique, augmentation de la captation périphérique de glucose (muscles)",Inhibition de la dégradation des incrétines par la DPP-4,Diminution de la réabsorption du glucose dans le tubule rénal,b,4
